BI00B1200    2399T51815     202111257289-5979-30             HOUSING FEMALE ASS'Y     CCN000014616000008820FN00000000020211001000008820NNM00020211124150506    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00A1200    7242T51907     202112027289-3342-40             HOUSING FEMALE ASS'Y     CCN000024000000009600FN00000000020211001000009600NNE00020211124175127    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    2399T51815     202111237289-5979-30             HOUSING FEMALE ASS'Y     PCN000008820000002520FY00000252020211001000000000NNMM0020211124150506    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00A1200    2399T51815     202111267289-5979-30             HOUSING FEMALE ASS'Y     PCN000002520000002772FN00000000020211001000002772NNMM0020211124150506    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00A1200    2399T51813     202111267289-5979-30             HOUSING FEMALE ASS'Y     PCN000007560000001260FN00000000020211001000001260NNMD0220211124150620    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B1200    7360T51C05     202112237288-3331-30             HOUSING MALE             CCN000022500000022500FN00000000020220101000022500NNE   20211124122808    4N0N  0000015000000086600000101091200    YCYC    005400370024
BI00B1200    7360T51C05     202112237288-3333-30             HOUSING MALE             CCN000003000000003000FN00000000020220101000003000NNE   20211124122808    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    7360T51C05     202112237388-2978-30             HOUSING MALE ASS'Y       CCN000001440000001440FN00000000020220101000001440NNE   20211124122808    1N0N  0000004800000074200000112201200    YCYC    005500360039
BI00B1200    #7360T51C05    202112237172-5625-90             RUBBER STOPPER           CCN000020000000020000FN00000000020220101000020000NNE   20211124122808    2H0H  0000200000000008240000013381200    YCYC    004300270014
BI00B1200    #7360T51C05    202112237172-5632-10             DUMMY PLUG               CCN000100000000100000FN00000000020220101000100000NNE   20211124122808    2H0H  0000200000000008040000013181200    YCYC    004300270014
BI00B1200    #7360T51C05    202112237188-3035                HOUSING MALE             CCN000002400000002400FN00000000020220101000002400NNE   20211124122808    2F0F  0000024000000069360000091361200    YCYC    005500360039
BI00B1200    #7360T51C05    202112237189-3036                HOUSING FEMALE           CCN000001600000001600FN00000000020220101000001600NNE   20211124122808    2F0F  0000016000000092160000114161200    YCYC    005500360039
BI00B1200    2399T51C05     202112237116-4100-02             TERMINAL                 CCN000030000000030000FN00000000020220101000030000NNM   20211124122808    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    2399T51C06     202201067116-4100-02             TERMINAL                 CCN000030000000030000FN00000000020220101000030000NNM   20211124122808    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    2399T51C07     202201137116-4100-02             TERMINAL                 CCN000030000000030000FN00000000020220101000030000NNM   20211124122808    4P0P  0000150000000069600000099021200    YCYC    006400630015
