BI00B32AF    @TTB109B       20211001181AD2002ZZ              CIVUSAS-S 0.35X2 B       CCN000063900000057600FY00005760020210901000000000NNE00 20211125151757    1W    00000045000001714000000000032AF    HBYHVTB 000000000000UU21A003
BI00B32AF    @TTB109B       20211203181AD2002ZZ              CIVUSAS-S 0.35X2 B       CCN000006300000006300FN00000000020210901000006300NNE21 20211125151732    1W    00000045000001714000000000032AF    HBYHVTB 000000000000UU21A003
BI00A32B6    W71037         202111261801W003952              IVSSH 0.5F P             PCN000018000000010800FN00000000020211001000010800NNM22 20211125152704B6  1W    00000180000000625000000000032B6    AXARNE-M000000000000AW118016
BI00A32B6    W71037         202111261801W004040              IVSSH 0.75F W            PCN000002600000002600FN00000000020211001000002600NNM22 20211125152704B6  1W    00000130000000882000000000032B6    AXARNE-M000000000000AW118028
BI00A32B6    W71042         202111261801W003952              IVSSH 0.5F P             PCN000001800000001800FN00000000020211201000001800NNM22 20211125152704B6  1W    00000180000000625000000000032B6    AXARNE-M000000000000AW31A018
BI00A32B6    W71042         202111261801W003960              IVSSH 0.5F G             PCN000027000000027000FN00000000020211201000027000NNM22 20211125152704B6  1W    00000180000000625000000000032B6    AXARNE-M000000000000AW31A014
BI00A32B6    W71042         202111261801W003990              IVSSH 0.5F L             PCN000027000000027000FN00000000020211201000027000NNM22 20211125152704B6  1W    00000180000000625000000000032B6    AXARNE-M000000000000AW31A016
BI00A32B6    W71042         202111261801W004030              IVSSH 0.75F B            PCN000002600000002600FN00000000020211201000002600NNM22 20211125152704B6  1W    00000130000000882000000000032B6    AXARNE-M000000000000AW31A024
BI00B32B6    @W71049        20211203181E48027ZZ              CAVSAS-S 0.5X2 GY/P      CCN000004200000001200FN00000000020220201000001200NNM20 20211125131827B6  1W    00000030000002493000000000032B6    AXARNE-M000000000000AW41B011
BI00A32B6    W72001         202111261801W003950              IVSSH 0.5F R             PCN000003600000003600FN00000000020220201000003600NNM21 20211125152704B6  1W    00000180000000625000000000032B6    AXARNE-M000000000000AW21C003
BI00A32B6    W72003         202111261801W003950              IVSSH 0.5F R             PCN000001800000001800FN00000000020220301000001800NNM20 20211125152704B6  1W    00000180000000625000000000032B6    AXARNE-M000000000000AR51B006
BI00A32B6    W72003         202111261801W003952              IVSSH 0.5F P             PCN000003600000003600FN00000000020220301000003600NNM20 20211125152704B6  1W    00000180000000625000000000032B6    AXARNE-M000000000000AR51B005
BI00A32B6    @W71049        20211126181E48027ZZ              CAVSAS-S 0.5X2 GY/P      PCN000003000000003000FN00000000020220201000003000NNM21 20211125152704B6  1W    00000030000002493000000000032B6    AXARNE-M000000000000AW41B011
BI00B32H2    @TAW109D       20211008181AD2002ZZ              CIVUSAS-S 0.35X2 B       CCN000010800000000450FY00000045020210901000000000NNE00 20211125151315    1W    00000045000001714000000000032H2    HVYHV   000000000000UD218003
BI00B32H2    @TAW109D       20211203181AD2002ZZ              CIVUSAS-S 0.35X2 B       CCN000010350000010350FN00000000020210901000010350NNE25 20211125151242    1W    00000045000001714000000000032H2    HVYHV   000000000000UD218003
BI00A32M4    @TH1123        20211126181CQ7004ZZ              IVSSHCS-S 0.5FX2 B(R,G)  CCN000000300000000300FN00000000020211201000000300NNM21 20211125164122    1W    00000030000002333100000000032M4    SISAI   000000000000GK21B003
BI00B32P8    @TAPAW1094     20211201181AD2003ZZ              CIVUSAS-S 0.35X3 B       CCN000036400000036400FN00000000020210901000036400NNM22 20211125140215    1W    00000035000002209700000000032P8    YIYTM   000000000000YT218268
BI00B32P8    @TAPAW-1112    20211201181E50012ZZ              AVSSCS-S 0.5FX2 DGY/G    CCN000000900000000900FN00000000020211101000000900NNM21 20211125150346    1W    00000030000002072000000000032P8    YIYTM   000000000000YT519053
BI00B32P8    @TAPAW-1112    20211201181E50016ZZ              AVSSCS-S 0.5FX2 DGY/R    CCN000002700000002700FN00000000020211101000002700NNM21 20211125150346    1W    00000030000002072000000000032P8    YIYTM   000000000000YT519054
BI00B32P8    @TAPAW-1112    20211201181F21001ZZ              AVSSHCS-S 0.3FX2 B/Y     CCN000001050000001050FN00000000020211101000001050NNM21 20211125150346    1W    00000035000002076300000000032P8    YIYTM   000000000000YT519059
BI00B32P8    @TAPAW-1112    20211201181F21016ZZ              AVSSHCS-S 0.5FX2 B/BR    CCN000004500000004500FN00000000020211101000004500NNM21 20211125150346    1W    00000030000002505800000000032P8    YIYTM   000000000000YT519055
BI00B32P8    @TAPAW-1112    20211201181F21015ZZ              AVSSHCS-S 0.5FX2 B/P     CCN000001200000001200FN00000000020211101000001200NNM21 20211125150346    1W    00000030000002505800000000032P8    YIYTM   000000000000YT519056
BI00B32P8    @TAPAW-1112    20211201181F21011ZZ              AVSSHCS-S 0.5FX2 B/R     CCN000000300000000300FN00000000020211101000000300NNM21 20211125150346    1W    00000030000002505800000000032P8    YIYTM   000000000000YT519057
BI00B32P8    @TAPAW-1112    20211012181F21013ZZ              AVSSHCS-S 0.5FX2 B/Y     CCN000001800000001200FN00000000020211101000001200NNM00 20211125143124    1W    00000030000002505800000000032P8    YIYTM   000000000000YT519058
