BI00A1200    #2399T51730    202112077289-4200-30             HOUSING FEMALE ASS'Y     PCN000088000000088000FN00000000020210901000088000NNM00020211201135251    2N0N  0000020000000092600000102101200    YCYC    005400370024
BI00A1200    7360T51816     202112237288-3329-30             HOUSING MALE             CCN000036000000000000FY00000000020210901000000000NNED0420211201183014    4N0N  0000015000000086610000101111200    YCYC    005400370024
BI00A1200    7360T51816     202202247289-3342-90             HOUSING FEMALE ASS'Y     CCN000043200000000000FY00000000020210901000000000NNEQ0820211201191621    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202202247288-3329-30             HOUSING MALE             CCN000036000000000000FY00000000020210901000000000NNED0420211201183235    4N0N  0000015000000086610000101111200    YCYC    005400370024
BI00A1200    7360T51817     202201207288-3337-30             HOUSING MALE             CCN000024000000000000FY00000000020210901000000000NNEQ0820211201184102    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00A1200    7360T51817     202202037289-3342                HOUSING FEMALE ASS'Y     CCN000057600000000000FY00000000020210901000000000NNEQ0820211201184352    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202206027289-3342-40             HOUSING FEMALE ASS'Y     CCN000038400000000000FY00000000020210901000000000NNED0820211201190024    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202207077289-3342-90             HOUSING FEMALE ASS'Y     CCN000043200000000000FY00000000020210901000000000NNEQ0820211201191938    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51816     202201067288-3329-30             HOUSING MALE             CCN000004500000000000FY00000000020210901000000000NNED0420211201183014    4N0N  0000015000000086610000101111200    YCYC    005400370024
BI00A1200    7360T51816     202201137288-3329-30             HOUSING MALE             CCN000004500000000000FY00000000020210901000000000NNED0420211201183014    4N0N  0000015000000086610000101111200    YCYC    005400370024
BI00A1200    7360T51816     202201207288-3329-30             HOUSING MALE             CCN000004500000000000FY00000000020210901000000000NNED0420211201183014    4N0N  0000015000000086610000101111200    YCYC    005400370024
BI00A1200    7360T51816     202201277288-3329-30             HOUSING MALE             CCN000004500000000000FY00000000020210901000000000NNED0420211201183014    4N0N  0000015000000086610000101111200    YCYC    005400370024
BI00A1200    7360T51816     202202037288-3329-30             HOUSING MALE             CCN000004500000000000FY00000000020210901000000000NNED0420211201183014    4N0N  0000015000000086610000101111200    YCYC    005400370024
BI00A1200    7360T51816     202202107288-3329-30             HOUSING MALE             CCN000004500000000000FY00000000020210901000000000NNED0420211201183014    4N0N  0000015000000086610000101111200    YCYC    005400370024
BI00A1200    7360T51816     202202177288-3329-30             HOUSING MALE             CCN000004500000000000FY00000000020210901000000000NNED0420211201183014    4N0N  0000015000000086610000101111200    YCYC    005400370024
BI00A1200    7360T51816     202202247288-3329-30             HOUSING MALE             CCN000004500000000000FY00000000020210901000000000NNED0420211201183014    4N0N  0000015000000086610000101111200    YCYC    005400370024
BI00A1200    7360T51817     202203037288-3329-30             HOUSING MALE             CCN000004500000000000FY00000000020210901000000000NNED0420211201183235    4N0N  0000015000000086610000101111200    YCYC    005400370024
BI00A1200    7360T51817     202203107288-3329-30             HOUSING MALE             CCN000004500000000000FY00000000020210901000000000NNED0420211201183235    4N0N  0000015000000086610000101111200    YCYC    005400370024
BI00A1200    7360T51817     202203177288-3329-30             HOUSING MALE             CCN000004500000000000FY00000000020210901000000000NNED0420211201183235    4N0N  0000015000000086610000101111200    YCYC    005400370024
BI00A1200    7360T51817     202203247288-3329-30             HOUSING MALE             CCN000004500000000000FY00000000020210901000000000NNED0420211201183235    4N0N  0000015000000086610000101111200    YCYC    005400370024
BI00A1200    7360T51817     202203317288-3329-30             HOUSING MALE             CCN000004500000000000FY00000000020210901000000000NNED0420211201183235    4N0N  0000015000000086610000101111200    YCYC    005400370024
BI00A1200    7360T51817     202204077288-3329-30             HOUSING MALE             CCN000004500000000000FY00000000020210901000000000NNED0420211201183235    4N0N  0000015000000086610000101111200    YCYC    005400370024
BI00A1200    7360T51817     202204217288-3329-30             HOUSING MALE             CCN000004500000000000FY00000000020210901000000000NNED0420211201183235    4N0N  0000015000000086610000101111200    YCYC    005400370024
BI00A1200    7360T51817     202204287288-3329-30             HOUSING MALE             CCN000003000000000000FY00000000020210901000000000NNED0420211201183235    4N0N  0000015000000086610000101111200    YCYC    005400370024
BI00A1200    7360T51817     202201277288-3337-30             HOUSING MALE             CCN000004500000000000FY00000000020210901000000000NNEQ0820211201184102    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00A1200    7360T51817     202202037288-3337-30             HOUSING MALE             CCN000004500000000000FY00000000020210901000000000NNEQ0820211201184102    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00A1200    7360T51817     202202107288-3337-30             HOUSING MALE             CCN000004500000000000FY00000000020210901000000000NNEQ0820211201184102    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00A1200    7360T51817     202202177288-3337-30             HOUSING MALE             CCN000004500000000000FY00000000020210901000000000NNEQ0820211201184102    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00A1200    7360T51817     202202247288-3337-30             HOUSING MALE             CCN000003000000000000FY00000000020210901000000000NNEQ0820211201184102    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00A1200    7360T51817     202202107289-3342                HOUSING FEMALE ASS'Y     CCN000009600000000000FY00000000020210901000000000NNEQ0820211201184352    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202202177289-3342                HOUSING FEMALE ASS'Y     CCN000009600000000000FY00000000020210901000000000NNEQ0820211201184352    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202202247289-3342                HOUSING FEMALE ASS'Y     CCN000009600000000000FY00000000020210901000000000NNEQ0820211201184352    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202203037289-3342                HOUSING FEMALE ASS'Y     CCN000009600000000000FY00000000020210901000000000NNEQ0820211201184352    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202203107289-3342                HOUSING FEMALE ASS'Y     CCN000009600000000000FY00000000020210901000000000NNEQ0820211201184352    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202206097289-3342-40             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNED0820211201190024    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202206167289-3342-40             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNED0820211201190024    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202206237289-3342-40             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNED0820211201190024    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202206307289-3342-40             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNED0820211201190024    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202207077289-3342-40             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNED0820211201190024    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202207147289-3342-40             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNED0820211201190024    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202207217289-3342-40             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNED0820211201190024    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202207287289-3342-40             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNED0820211201190024    1N0N  0000024000000068640000090141200    YCYC    005500360039
