BI00A32AF    @TTB1104       20211208181AD2002ZZ              CIVUSAS-S 0.35X2 B       PCN000040500000040500FN00000000020211001000040500NNM23 20211202143855    1W    00000045000001714000000000032AF    HBYHVTB 000000000000UZ41A032
BI00B32AF    @TTB201B       20211224181E48063ZZ              CAVSAS-S 0.5X2 GY/L      CCN000000600000000600FN00000000020220101000000600NNE   20211202175641    1W    00000030000002493000000000032AF    HBYHVTB 000000000000UT11C001
BI00B32AF    @TTB201B       20211224181E48065ZZ              CAVSAS-S 0.5X4 GY/W      CCN000000400000000400FN00000000020220101000000400NNE   20211202175641    1W    00000020000004425000000000032AF    HBYHVTB 000000000000UT11C002
BI00A32CJ    @TTQ1094       20211203181AD2004ZZ              CIVUSAS-S 0.35X4 B       PCN000018000000018000FN00000000020210901000018000NNM23 20211202113139    1W    00000030000002784000000000032CJ    QNYHVQN 000000000000UO318002
BI00B32CJ    @TTQ201A       20211230181E48011ZZ              CAVSAS-S 0.3X1 GY/W      CCN000004000000004000FN00000000020220101000004000NNE   20211202191302    1W    00000050000001701600000000032CJ    QNYHVQN 000000000000UO21C002
BI00B32CJ    @TTQ201A       20211230181E48013ZZ              CAVSAS-S 0.3X3 GY        CCN000025000000025000FN00000000020220101000025000NNE   20211202191302    1W    00000025000002685000000000032CJ    QNYHVQN 000000000000UO21C004
BI00B32CJ    @TTQ201A       20211230181E48027ZZ              CAVSAS-S 0.5X2 GY/P      CCN000000600000000600FN00000000020220101000000600NNE   20211202191302    1W    00000030000002493000000000032CJ    QNYHVQN 000000000000UO21C003
BI00B32CJ    @TTQ201A       20211230181AD2004ZZ              CIVUSAS-S 0.35X4 B       CCN000012000000012000FN00000000020220101000012000NNE   20211202191302    1W    00000030000002784000000000032CJ    QNYHVQN 000000000000UO21C001
BI00B32DJ    GHT2201-2      2021120318007704140              AVSS 1.25F W             CCN000001600000001600FN00000000020211201000001600NNM20 20211202180429    1W    00000080000001389000000000032DJ    RBYIPLRB000000000000XH41B026
BI00B32DJ    GHT2201-2      20211203180T8403952              ACCAVS 0.5 P             CCN000003000000003000FN00000000020211201000003000NNM20 20211202180429    1W    00000150000000674300000000032DJ    RBYIPLRB000000000000XH41B020
BI00B32DJ    GHT2201-2      20211203180T8403980              ACCAVS 0.5 BR            CCN000000020000001500FN00000000020211201000001500NNM20 20211202180429    1W    00000150000000674300000000032DJ    RBYIPLRB000000000000XH41B017
BI00A32H8    21113IMW       2021120318007704036              AVSS 0.75F B/G           PCN000001000000001000FN00000000020211101000001000NNM20 20211202111033    1W    00000100000000943000000000032H8    TYTYC   000000000000LO11A004
BI00B32U5    DW1051         202112101801W003930              IVSSH 0.5F B             CCN000081000000073800FN00000000020220201000073800NNM20 20211202134559U5  1W    00000180000000625000000000032U5    ASAMSD  000000000000AM11C016
BI00B32U5    DW1051         202112101801W003940              IVSSH 0.5F W             CCN000007200000003600FN00000000020220201000003600NNM20 20211202134716U5  1W    00000180000000625000000000032U5    ASAMSD  000000000000AM11C021
BI00B32U5    DW1051         202112101801W003950              IVSSH 0.5F R             CCN000091800000061200FN00000000020220201000061200NNM20 20211202134346U5  1W    00000180000000625000000000032U5    ASAMSD  000000000000AM11C020
BI00A32U5    DW1051         202112031801W003960              IVSSH 0.5F G             PCN000023400000007200FN00000000020220201000007200NNM21 20211202134642U5  1W    00000180000000625000000000032U5    ASAMSD  000000000000AM11C017
BI00B32U5    DW1051         202112101801W006980              IVSSH 0.35F BR           CCN000032500000030000FN00000000020220201000030000NNM20 20211202134740U5  1W    00000250000000452000000000032U5    ASAMSD  000000000000AM11C033
BI00B32U5    DW1051         202112101801W006990              IVSSH 0.35F L            CCN000102500000090000FN00000000020220201000090000NNM20 20211202134516U5  1W    00000250000000452000000000032U5    ASAMSD  000000000000AM11C036
BI00B32U5    @DW1051        20211210181AD2013ZZ              CIVUSAS-S 1.25X2 B       CCN000001100000000880FN00000000020220201000000880NNM20 20211202135218U5  1W    00000022000004000000000000032U5    ASAMSD  000000000000AM11C013
BI00B32U5    DW2001         202112101801W003992              IVSSH 0.5F V             CCN000012600000010800FN00000000020220201000010800NNM20 20211202134913U5  1W    00000180000000625000000000032U5    ASAMSD  000000000000AM21C014
BI00B32U5    DW2001         202112101801W004030              IVSSH 0.75F B            CCN000007800000007800FN00000000020220201000007800NNM20 20211202135017U5  1W    00000130000000882000000000032U5    ASAMSD  000000000000AM21C017
BI00B32U5    DW2001         202112101801W004043              IVSSH 0.75F W/B          CCN000015600000015600FN00000000020220201000015600NNM20 20211202135017U5  1W    00000130000000882000000000032U5    ASAMSD  000000000000AM21C022
BI00B32U5    DW2001         202112101801W006961              IVSSH 0.35F LG           CCN000027500000027500FN00000000020220201000027500NNM20 20211202135017U5  1W    00000250000000452000000000032U5    ASAMSD  000000000000AM21C029
BI00B32U5    DW2001         202112101801W006980              IVSSH 0.35F BR           CCN000032500000032500FN00000000020220201000032500NNM20 20211202135038U5  1W    00000250000000452000000000032U5    ASAMSD  000000000000AM21C025
BI00A32U5    DW1051         202111221801W006950              IVSSH 0.35F R            PCN000005000000005000FY00000500020220201000000000NNM20 20211202135800U5  1W    00000250000000452000000000032U5    ASAMSD  000000000000AM11C039
BI00A32U5    DW1051         202112031801W003950              IVSSH 0.5F R             PCN000005400000030600FN00000000020220201000030600NNM21 20211202134346U5  1W    00000180000000625000000000032U5    ASAMSD  000000000000AM11C020
BI00A32U5    DW1051         202112031801W006990              IVSSH 0.35F L            PCN000042500000012500FN00000000020220201000012500NNM21 20211202134516U5  1W    00000250000000452000000000032U5    ASAMSD  000000000000AM11C036
BI00A32U5    DW1051         202112031801W003930              IVSSH 0.5F B             PCN000032400000007200FN00000000020220201000007200NNM21 20211202134559U5  1W    00000180000000625000000000032U5    ASAMSD  000000000000AM11C016
BI00A32U5    DW2001         202112031801W006980              IVSSH 0.35F BR           PCN000022500000000000FY00000000020220201000000000NNM10 20211202135038U5  1W    00000250000000452000000000032U5    ASAMSD  000000000000AM21C025
BI00A32U5    DW2001         202112031801W006961              IVSSH 0.35F LG           PCN000010000000000000FY00000000020220201000000000NNM10 20211202135017U5  1W    00000250000000452000000000032U5    ASAMSD  000000000000AM21C029
BI00A32U5    DW2001         202112031801W004043              IVSSH 0.75F W/B          PCN000009100000000000FY00000000020220201000000000NNM10 20211202135017U5  1W    00000130000000882000000000032U5    ASAMSD  000000000000AM21C022
BI00A32U5    DW2001         202112031801W004030              IVSSH 0.75F B            PCN000001300000000000FY00000000020220201000000000NNM10 20211202135017U5  1W    00000130000000882000000000032U5    ASAMSD  000000000000AM21C017
BI00B32U5    DW1051         202112101801W003960              IVSSH 0.5F G             CCN000016200000016200FN00000000020220201000016200NNM20 20211202134642U5  1W    00000180000000625000000000032U5    ASAMSD  000000000000AM11C017
BI00A32U5    DW1051         202112031801W003940              IVSSH 0.5F W             PCN000003600000003600FN00000000020220201000003600NNM21 20211202134716U5  1W    00000180000000625000000000032U5    ASAMSD  000000000000AM11C021
