BI00A32AF    @TTB201A       20211207181E48065ZZ              CAVSAS-S 0.5X4 GY/W      CCN000000600000000600FN00000000020220101000000600NNE21 20211203130310    1W    00000020000004425000000000032AF    HBYHVTB 000000000000UW51B003
BI00B32AF    @TTB2025       20211210181E48061ZZ              CAVSAS-S 0.5X2 W/L       CCN000000300000000300FN00000000020220201000000300NNM20 20211203114945    1W    00000030000002493000000000032AF    HBYHVTB 000000000000UZ41C085
BI00B32AF    @TTB201B       20211210181E48065ZZ              CAVSAS-S 0.5X4 GY/W      CCN000000400000000400FN00000000020220101000000400NNE20 20211203130420    1W    00000020000004425000000000032AF    HBYHVTB 000000000000UT11C002
BI00A32DJ    GHT2201-2      2021120318007704140              AVSS 1.25F W             CCN000001600000001600FN00000000020211201000001600NNM20 20211203082525    1W    00000080000001389000000000032DJ    RBYIPLRB000000000000XH41B026
BI00A32DJ    GHT2201-2      20211203180T8403952              ACCAVS 0.5 P             CCN000003000000003000FN00000000020211201000003000NNM20 20211203082525    1W    00000150000000674300000000032DJ    RBYIPLRB000000000000XH41B020
BI00A32DJ    GHT2201-2      20211203180T8403980              ACCAVS 0.5 BR            CCN000000020000001500FN00000000020211201000001500NNM20 20211203082525    1W    00000150000000674300000000032DJ    RBYIPLRB000000000000XH41B017
BI00B32D1    DFTW2209       2022010618000004534              AV 8 B/W                 CCN000002500000002500FN00000000020220301000002500NNE   20211203102442    1W    00000010000009148000000000032D1    TOYOT-K 000000000000KO31C038
BI00B32D1    DFTW2209       2022010618000004535              AV 8 B/R                 CCN000004100000004100FN00000000020220301000004100NNE   20211203102442    1W    00000010000009148000000000032D1    TOYOT-K 000000000000KO31C037
BI00B32D1    DFTW2209       2022010618000004540              AV 8 W                   CCN000006200000006200FN00000000020220301000006200NNE   20211203102442    1W    00000010000009148000000000032D1    TOYOT-K 000000000000KO31C040
BI00B32D1    DFTW2209       2022010618000004543              AV 8 W/B                 CCN000005500000005500FN00000000020220301000005500NNE   20211203102442    1W    00000010000009148000000000032D1    TOYOT-K 000000000000KO31C041
BI00B32D1    DFTW2209       2022010618000004550              AV 8 R                   CCN000000700000000700FN00000000020220301000000700NNE   20211203102442    1W    00000010000009148000000000032D1    TOYOT-K 000000000000KO31C039
BI00B32D1    @DFTW2209      20220106181AD2002ZZ              CIVUSAS-S 0.35X2 B       CCN000004950000004950FN00000000020220301000004950NNE   20211203102439    1W    00000045000001714000000000032D1    TOYOT-K 000000000000KO31C011
BI00B32D1    @DFTW2209      20220106181AD2003ZZ              CIVUSAS-S 0.35X3 B       CCN000002800000002800FN00000000020220301000002800NNE   20211203102439    1W    00000035000002209700000000032D1    TOYOT-K 000000000000KO31C012
BI00B32D1    @DFTW2209      20220106181AD2004ZZ              CIVUSAS-S 0.35X4 B       CCN000012900000012900FN00000000020220301000012900NNE   20211203102439    1W    00000030000002784000000000032D1    TOYOT-K 000000000000KO31C013
BI00B32D1    @DFTW2209      20220106181E48031ZZ              CAVSAS-S 0.3X2 GY        CCN000004900000004900FN00000000020220301000004900NNE   20211203102439    1W    00000035000001998600000000032D1    TOYOT-K 000000000000KO31C014
BI00B32D1    @DFTW2209      20220106181E48037ZZ              CAVSAS-S 0.3X4 GY        CCN000003250000003250FN00000000020220301000003250NNE   20211203102439    1W    00000025000003340000000000032D1    TOYOT-K 000000000000KO31C016
