BI00A32AF    @TTB108D       20211208181AD2004ZZ              CIVUSAS-S 0.35X4 B       PCN000004800000004800FN00000000020210801000004800NNE25 20211204111957    1W    00000030000002784000000000032AF    HBYHVTB 000000000000UT118018
BI00B32A7    ZZ22022LMW     2022011318000004530              AV 8 B                   CCN000000400000000400FN00000000020220201000000400NNM   20211204100012    1W    00000010000009148000000000032A7    ZZZZY   000000000000ZZ41C056
BI00B32A7    ZZ22023LMW     2022012718000004530              AV 8 B                   CCN000006700000006700FN00000000020220201000006700NNM   20211204100012    1W    00000010000009148000000000032A7    ZZZZY   000000000000ZZ221022
BI00B32A7    @ZZ22022LMW    20220113181E48017ZZ              CAVSAS-S 0.5X1 GY/G      CCN000002800000002800FN00000000020220201000002800NNM   20211204100011    1W    00000040000001932600000000032A7    ZZZZY   000000000000ZZ41C052
BI00B32A7    @ZZ22023LMW    20220127181E48017ZZ              CAVSAS-S 0.5X1 GY/G      CCN000008000000008000FN00000000020220201000008000NNM   20211204100011    1W    00000040000001932600000000032A7    ZZZZY   000000000000ZZ221018
BI00B32A7    @ZZ22021LMW    20220106181E48018ZZ              CAVSAS-S 0.5X2 GY/SB     CCN000000300000000300FN00000000020220201000000300NNM   20211204100011    1W    00000030000002493000000000032A7    ZZZZY   000000000000ZZ31C029
BI00B32A7    @ZZ22022LMW    20220113181E48018ZZ              CAVSAS-S 0.5X2 GY/SB     CCN000001500000001500FN00000000020220201000001500NNM   20211204100011    1W    00000030000002493000000000032A7    ZZZZY   000000000000ZZ41C054
BI00B32A7    @ZZ22023LMW    20220127181E48018ZZ              CAVSAS-S 0.5X2 GY/SB     CCN000003600000003600FN00000000020220201000003600NNM   20211204100011    1W    00000030000002493000000000032A7    ZZZZY   000000000000ZZ221020
BI00B32A7    @ZZ22021LMW    20220106181E48027ZZ              CAVSAS-S 0.5X2 GY/P      CCN000002700000002700FN00000000020220201000002700NNM   20211204100011    1W    00000030000002493000000000032A7    ZZZZY   000000000000ZZ31C028
BI00B32A7    @ZZ22022LMW    20220113181E48027ZZ              CAVSAS-S 0.5X2 GY/P      CCN000001500000001500FN00000000020220201000001500NNM   20211204100011    1W    00000030000002493000000000032A7    ZZZZY   000000000000ZZ41C053
BI00B32A7    @ZZ22023LMW    20220127181E48027ZZ              CAVSAS-S 0.5X2 GY/P      CCN000003600000003600FN00000000020220201000003600NNM   20211204100011    1W    00000030000002493000000000032A7    ZZZZY   000000000000ZZ221019
BI00B32A7    @ZZ22021LMW    20220106181E48040ZZ              CAVSAS-S 0.3X2 GY/V      CCN000010150000010150FN00000000020220201000010150NNM   20211204100011    1W    00000035000001998600000000032A7    ZZZZY   000000000000ZZ31C030
BI00B32A7    @ZZ22022LMW    20220113181E48040ZZ              CAVSAS-S 0.3X2 GY/V      CCN000003850000003850FN00000000020220201000003850NNM   20211204100011    1W    00000035000001998600000000032A7    ZZZZY   000000000000ZZ41C055
BI00B32A7    @ZZ22023LMW    20220127181E48040ZZ              CAVSAS-S 0.3X2 GY/V      CCN000007700000007700FN00000000020220201000007700NNM   20211204100011    1W    00000035000001998600000000032A7    ZZZZY   000000000000ZZ221021
BI00B32CH    SJ2201ADMW     202112231801W004070              IVSSH 0.75F Y            CCN000001300000001300FN00000000020220101000001300NNE   20211204130852    1W    00000130000000882000000000032CH    SJSAMIJF000000000000QR11C002
BI00B32CH    @SJ2201ADMW    20211223181B32037Z5              AVSSCS 0.3FX1 DGY/L      CCN000002000000002000FN00000000020220101000002000NNE   20211204130852    1W    00000050000001780000000000032CH    SJSAMIJF000000000000QR11C001
BI00B32CH    SJ22021 MW     2022010618007703930              AVSS 0.5F B              CCN000001500000001500FN00000000020220201000001500NNM   20211204130944    1W    00000150000000674000000000032CH    SJSAMIJF000000000000QX31C007
BI00B32CH    SJ22022 MW     2022011318007703930              AVSS 0.5F B              CCN000015000000015000FN00000000020220201000015000NNM   20211204130944    1W    00000150000000674000000000032CH    SJSAMIJF000000000000QX41C020
BI00B32CH    SJ22023 MW     2022012018007703930              AVSS 0.5F B              CCN000028500000028500FN00000000020220201000028500NNM   20211204130944    1W    00000150000000674000000000032CH    SJSAMIJF000000000000QX121005
BI00B32CH    SJ22024 MW     2022012718007703930              AVSS 0.5F B              CCN000019500000019500FN00000000020220201000019500NNM   20211204130944    1W    00000150000000674000000000032CH    SJSAMIJF000000000000QX221005
BI00B32CH    SJ22021 MW     2022010618007703941              AVSS 0.5F GY             CCN000001500000001500FN00000000020220201000001500NNM   20211204130944    1W    00000150000000674000000000032CH    SJSAMIJF000000000000QX31C008
BI00B32CH    SJ22022 MW     2022011318007703941              AVSS 0.5F GY             CCN000001500000001500FN00000000020220201000001500NNM   20211204130944    1W    00000150000000674000000000032CH    SJSAMIJF000000000000QX41C021
BI00B32CH    SJ22024 MW     2022012718007703941              AVSS 0.5F GY             CCN000001500000001500FN00000000020220201000001500NNM   20211204130944    1W    00000150000000674000000000032CH    SJSAMIJF000000000000QX221006
BI00B32CH    @SJ22021 MW    20220106181E50011ZZ              AVSSCS-S 0.5FX2 DGY/Y    CCN000002700000002700FN00000000020220201000002700NNM   20211204130939    1W    00000030000002072000000000032CH    SJSAMIJF000000000000QX31C005
BI00B32CH    @SJ22022 MW    20220113181E50011ZZ              AVSSCS-S 0.5FX2 DGY/Y    CCN000003300000003300FN00000000020220201000003300NNM   20211204130939    1W    00000030000002072000000000032CH    SJSAMIJF000000000000QX41C017
BI00B32CH    @SJ22023 MW    20220120181E50011ZZ              AVSSCS-S 0.5FX2 DGY/Y    CCN000003600000003600FN00000000020220201000003600NNM   20211204130939    1W    00000030000002072000000000032CH    SJSAMIJF000000000000QX121001
BI00B32CH    @SJ22024 MW    20220127181E50011ZZ              AVSSCS-S 0.5FX2 DGY/Y    CCN000003900000003900FN00000000020220201000003900NNM   20211204130939    1W    00000030000002072000000000032CH    SJSAMIJF000000000000QX221001
BI00B32CH    @SJ22023 MW    20220120181F21009ZZ              AVSSHCS-S 0.5FX2 B       CCN000018900000018900FN00000000020220201000018900NNM   20211204130939    1W    00000030000002505800000000032CH    SJSAMIJF000000000000QX121002
BI00B32CH    @SJ22024 MW    20220127181F21009ZZ              AVSSHCS-S 0.5FX2 B       CCN000024300000024300FN00000000020220201000024300NNM   20211204130939    1W    00000030000002505800000000032CH    SJSAMIJF000000000000QX221002
BI00B32CH    @SJ22021DMW    20220106181B32037Z5              AVSSCS 0.3FX1 DGY/L      CCN000007000000007000FN00000000020220201000007000NNM   20211204130940    1W    00000050000001780000000000032CH    SJSAMIJF000000000000QY31C002
