BI00B32DE    @TT1112        20211223181F21002ZZ              AVSSHCS-S 0.5FX1 B       CCN000001600000001600FN00000000020211101000001600NNM22 20211214094312    1W    00000040000001847000000000032DE    TVYEV-TV000000000000VX519006
BI00B32M8    PM2112CTMW     202112221801W004040              IVSSH 0.75F W            CCN000003900000001300FN00000000020211201000001300NNE20 20211214104636    1W    00000130000000882000000000032M8    PMPEMI  000000000000IE11C016
BI00A32M8    PM2112CTMW     202112171801W004041              IVSSH 0.75F GY           CCN000002600000002600FN00000000020211201000002600NNE21 20211214104545    1W    00000130000000882000000000032M8    PMPEMI  000000000000IE11C013
BI00B32M8    PM2112CTMW     202112221801W004092              IVSSH 0.75F V            CCN000003900000001300FN00000000020211201000001300NNE20 20211214104518    1W    00000130000000882000000000032M8    PMPEMI  000000000000IE11C015
BI00B32M8    PM2112ETMW     202201051801W003930              IVSSH 0.5F B             CCN000027000000018000FN00000000020211201000018000NNE20 20211214105309    1W    00000180000000625000000000032M8    PMPEMI  000000000000IE31C001
BI00B32M8    PM2112ETMW     202201051801W003943              IVSSH 0.5F W/B           CCN000018000000007200FN00000000020211201000007200NNE20 20211214105120    1W    00000180000000625000000000032M8    PMPEMI  000000000000IE31C013
BI00B32M8    PM2112ETMW     202201051801W003950              IVSSH 0.5F R             CCN000021600000010800FN00000000020211201000010800NNE20 20211214105155    1W    00000180000000625000000000032M8    PMPEMI  000000000000IE31C009
BI00B32M8    PM2112ETMW     202201051801W003992              IVSSH 0.5F V             CCN000016200000003600FN00000000020211201000003600NNE20 20211214105233    1W    00000180000000625000000000032M8    PMPEMI  000000000000IE31C011
BI00B32M8    PM2112ETMW     202201051801W006940              IVSSH 0.35F W            CCN000027500000007500FN00000000020211201000007500NNE20 20211214104952    1W    00000250000000452000000000032M8    PMPEMI  000000000000IE31C029
BI00B32M8    PM2112ETMW     202201051801W006950              IVSSH 0.35F R            CCN000030000000010000FN00000000020211201000010000NNE20 20211214105020    1W    00000250000000452000000000032M8    PMPEMI  000000000000IE31C027
BI00B32M8    PM2112ETMW     202201051801W006991              IVSSH 0.35F SB           CCN000035000000025000FN00000000020211201000025000NNE20 20211214105047    1W    00000250000000452000000000032M8    PMPEMI  000000000000IE31C028
BI00B32M8    @PM2112ETMW    20220105181D69001ZZ              AVSSHCS 0.5FX2 B/BR      CCN000000600000000300FN00000000020211201000000300NNE20 20211214105401    1W    00000030000002792600000000032M8    PMPEMI  000000000000IG31C001
BI00B32M8    PM22021 MW     2022010518007703970              AVSS 0.5F Y              CCN000001500000000000FY00000000020220201000000000NNM10 20211214143351    1W    00000150000000674000000000032M8    PMPEMI  000000000000IM31C038
BI00A32M8    PM2112CTMW     202112171801W004092              IVSSH 0.75F V            CCN000002600000002600FN00000000020211201000002600NNE21 20211214104518    1W    00000130000000882000000000032M8    PMPEMI  000000000000IE11C015
BI00A32M8    PM2112CTMW     202112171801W004040              IVSSH 0.75F W            CCN000002600000002600FN00000000020211201000002600NNE21 20211214104636    1W    00000130000000882000000000032M8    PMPEMI  000000000000IE11C016
BI00A32M8    PM2112ETMW     202112171801W006940              IVSSH 0.35F W            CCN000020000000020000FN00000000020211201000020000NNE21 20211214104952    1W    00000250000000452000000000032M8    PMPEMI  000000000000IE31C029
BI00A32M8    PM2112ETMW     202112171801W006950              IVSSH 0.35F R            CCN000020000000020000FN00000000020211201000020000NNE21 20211214105020    1W    00000250000000452000000000032M8    PMPEMI  000000000000IE31C027
BI00A32M8    PM2112ETMW     202112171801W006991              IVSSH 0.35F SB           CCN000010000000010000FN00000000020211201000010000NNE21 20211214105047    1W    00000250000000452000000000032M8    PMPEMI  000000000000IE31C028
BI00A32M8    PM2112ETMW     202112171801W003943              IVSSH 0.5F W/B           CCN000010800000010800FN00000000020211201000010800NNE21 20211214105120    1W    00000180000000625000000000032M8    PMPEMI  000000000000IE31C013
BI00A32M8    PM2112ETMW     202112171801W003950              IVSSH 0.5F R             PCN000010800000010800FN00000000020211201000010800NNE21 20211214105155    1W    00000180000000625000000000032M8    PMPEMI  000000000000IE31C009
BI00A32M8    PM2112ETMW     202112171801W003992              IVSSH 0.5F V             CCN000012600000012600FN00000000020211201000012600NNE21 20211214105233    1W    00000180000000625000000000032M8    PMPEMI  000000000000IE31C011
BI00A32M8    PM2112ETMW     202112171801W003930              IVSSH 0.5F B             PCN000009000000009000FN00000000020211201000009000NNE21 20211214105309    1W    00000180000000625000000000032M8    PMPEMI  000000000000IE31C001
BI00A32M8    @PM2112ETMW    20211217181D69001ZZ              AVSSHCS 0.5FX2 B/BR      CCN000000300000000300FN00000000020211201000000300NNE21 20211214105401    1W    00000030000002792600000000032M8    PMPEMI  000000000000IG31C001
