BI00A1200    AWNYS-AL-21-02 2021122018000004530              AV 8 B                   PCN000000300000000300FN00000000020211201000000300NNE30 20211216155611    1W    0000001000000914800000000001200    YCYC    000000000000RZ11C016
BI00B32AF    @TTB1094       20210903181AD2004ZZ              CIVUSAS-S 0.35X4 B       CCN000015900000006900FN00000000020210901000006900NNM22 20211216140955    1W    00000030000002784000000000032AF    HBYHVTB 000000000000UZ318132
BI00A32AF    @TTB1094       20211220181AD2004ZZ              CIVUSAS-S 0.35X4 B       PCN000009000000009000FN00000000020210901000009000NNM26 20211216140955    1W    00000030000002784000000000032AF    HBYHVTB 000000000000UZ318132
BI00B32AG    XG2201ACMW     2021122418000004590              AV 8 L                   CCN000000300000000300FN00000000020220101000000300NNE20 20211216092436    1W    00000010000009148000000000032AG    XGXGY   000000000000XU31C001
BI00A32B6    W72004A        202112221801W003930              IVSSH 0.5F B             CCN000021600000021600FN00000000020220301000021600NNE   20211216142257B6  1W    00000180000000625000000000032B6    AXARNE-M000000000000AT21C001
BI00A32B6    W72004A        202112221801W003992              IVSSH 0.5F V             CCN000001800000001800FN00000000020220301000001800NNE   20211216142257B6  1W    00000180000000625000000000032B6    AXARNE-M000000000000AT21C002
BI00A32B6    W72004A        202112221801W004052              IVSSH 0.75F P            CCN000001300000001300FN00000000020220301000001300NNE   20211216142257B6  1W    00000130000000882000000000032B6    AXARNE-M000000000000AT21C004
BI00A32B6    W72004A        202112221801W004090              IVSSH 0.75F L            CCN000003900000003900FN00000000020220301000003900NNE   20211216142257B6  1W    00000130000000882000000000032B6    AXARNE-M000000000000AT21C003
BI00B32E1    WC202A         2022011218000004530              AV 8 B                   CCN000002000000002000FN00000000020220201000002000NNE   20211216093140    1W    00000010000009148000000000032E1    SPYSE   000000000000KB41C001
BI00B32E1    WC202A         2022011218000004570              AV 8 Y                   CCN000005200000005200FN00000000020220201000005200NNE   20211216093140    1W    00000010000009148000000000032E1    SPYSE   000000000000KB41C002
BI00A32H2    @TAW1111       20210928181AD2004ZZ              CIVUSAS-S 0.35X4 B       PCN000062100000041100FN00000000020211101000041100NNM21 20211216132918    1W    00000030000002784000000000032H2    HVYHV   000000000000UJ519006
BI00B32H2    @TAW109D       20211001181AD2004ZZ              CIVUSAS-S 0.35X4 B       CCN000021600000000000FY00000000020210901000000000NNE10 20211216132017    1W    00000030000002784000000000032H2    HVYHV   000000000000UD218005
BI00A32H2    @TAW112L       20211217181F21031ZZ              AVSSHCS-S 1.25FX2 B/P    CCN000000200000000200FN00000000020211201000000200NNE   20211216111356    1W    00000020000004262000000000032H2    HVYHV   000000000000UA11C001
BI00A32H2    @TAW109D       20211221181AD2004ZZ              CIVUSAS-S 0.35X4 B       PCN000010500000000000FY00000000020210901000000000NNE27 20211216132005    1W    00000030000002784000000000032H2    HVYHV   000000000000UD218005
BI00A32H2    @TAW109D       20211223181AD2004ZZ              CIVUSAS-S 0.35X4 B       PCN000010500000000000FY00000000020210901000000000NNE28 20211216132005    1W    00000030000002784000000000032H2    HVYHV   000000000000UD218005
BI00A32H2    @TAW1111       20211221181AD2004ZZ              CIVUSAS-S 0.35X4 B       PCN000010500000010500FN00000000020211101000010500NNM23 20211216132731    1W    00000030000002784000000000032H2    HVYHV   000000000000UJ519006
BI00A32H2    @TAW1111       20211223181AD2004ZZ              CIVUSAS-S 0.35X4 B       PCN000010500000010500FN00000000020211101000010500NNM24 20211216132751    1W    00000030000002784000000000032H2    HVYHV   000000000000UJ519006
BI00B32P8    TAPAW-2022     2022011218000004530              AV 8 B                   CCN000013300000013300FN00000000020210201000013300NNM   20211216181005    1W    00000010000009148000000000032P8    YIYTM   000000000000YM41C054
BI00B32P8    TAPAW-2022     2022011218000004560              AV 8 G                   CCN000007700000007700FN00000000020210201000007700NNM   20211216181005    1W    00000010000009148000000000032P8    YIYTM   000000000000YM41C055
BI00B32P8    TAPAW-2022     2022011218000004543              AV 8 W/B                 CCN000003300000003300FN00000000020210201000003300NNM   20211216181005    1W    00000010000009148000000000032P8    YIYTM   000000000000YM41C057
BI00B32P8    TAPAW-2022     2022011218009604037              AVS 0.85 B/Y             CCN000001000000001000FN00000000020210201000001000NNM   20211216181005    1W    00000100000001148000000000032P8    YIYTM   000000000000YM41C163
BI00B32P8    TAPAW-2022     2022011218007703730              AVSS 0.3F B              CCN000002000000002000FN00000000020210201000002000NNM   20211216181005    1W    00000200000000496000000000032P8    YIYTM   000000000000YM41C059
BI00B32P8    TAPAW-2022     2022011218007703765              AVSS 0.3F G/R            CCN000002000000002000FN00000000020210201000002000NNM   20211216181005    1W    00000200000000496000000000032P8    YIYTM   000000000000YM41C060
BI00B32P8    TAPAW-2022     2022011218007703767              AVSS 0.3F G/Y            CCN000004000000004000FN00000000020210201000004000NNM   20211216181005    1W    00000200000000496000000000032P8    YIYTM   000000000000YM41C061
BI00B32P8    TAPAW-2022     2022011218007703795              AVSS 0.3F L/R            CCN000002000000002000FN00000000020210201000002000NNM   20211216181005    1W    00000200000000496000000000032P8    YIYTM   000000000000YM41C062
BI00B32P8    TAPAW-2022     2022011218007703794              AVSS 0.3F L/W            CCN000002000000002000FN00000000020210201000002000NNM   20211216181005    1W    00000200000000496000000000032P8    YIYTM   000000000000YM41C063
