BI00B32B6    W71042         202110081801W003930              IVSSH 0.5F B             CCN000041400000014400FN00000000020211201000014400NNM20 20211222132726B6  1W    00000180000000625000000000032B6    AXARNE-M000000000000AW31A011
BI00A32B6    W71042         202112241801W004090              IVSSH 0.75F L            PCN000002600000002600FN00000000020211201000002600NNM23 20211222132752B6  1W    00000130000000882000000000032B6    AXARNE-M000000000000AW31A027
BI00A32B6    W71042         202112241801W003930              IVSSH 0.5F B             PCN000014400000014400FN00000000020211201000014400NNM23 20211222132736B6  1W    00000180000000625000000000032B6    AXARNE-M000000000000AW31A011
BI00B32CJ    @TTQ202B       20220121181AD2004ZZ              CIVUSAS-S 0.35X4 B       CCN000043500000043500FN00000000020220201000043500NNE   20211222120223    1W    00000030000002784000000000032CJ    QNYHVQN 000000000000UL121001
BI00B32DG    @RH2021A       20220113181E50016ZZ              AVSSCS-S 0.5FX2 DGY/R    CCN000000600000000600FN00000000020220201000000600NNE   20211222120223    1W    00000030000002072000000000032DG    BFSAIBF 000000000000GX41C001
BI00B32DG    @RH2021A       20220113181E50011ZZ              AVSSCS-S 0.5FX2 DGY/Y    CCN000001500000001500FN00000000020220201000001500NNE   20211222120223    1W    00000030000002072000000000032DG    BFSAIBF 000000000000GX41C002
BI00B32DG    RW2021A        202201131801W003992              IVSSH 0.5F V             CCN000003600000003600FN00000000020220201000003600NNE   20211222120223    1W    00000180000000625000000000032DG    BFSAIBF 000000000000GX41C003
BI00B32D1    @DFTW2202      20220106181E50007ZZ              AVSSCS-S 0.5FX1 DGY/L    CCN000003600000003600FN00000000020220101000003600NNE23 20211222164330    1W    00000040000001817000000000032D1    TOYOT-K 000000000000KN21B023
BI00B32D9    C21003         202202031801W003930              IVSSH 0.5F B             CCN000023400000023400FN00000000020220301000023400NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT321028
BI00B32D9    C21103         202202101801W003930              IVSSH 0.5F B             CCN000007200000007200FN00000000020220301000007200NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT421022
BI00B32D9    C21203         202202171801W003930              IVSSH 0.5F B             CCN000030600000030600FN00000000020220301000030600NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT122022
BI00B32D9    C21304         202202241801W003930              IVSSH 0.5F B             CCN000032400000032400FN00000000020220301000032400NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT222022
BI00B32D9    C21003         202202031801W003940              IVSSH 0.5F W             CCN000039600000039600FN00000000020220301000039600NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT321036
BI00B32D9    C21103         202202101801W003940              IVSSH 0.5F W             CCN000039600000039600FN00000000020220301000039600NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT421031
BI00B32D9    C21203         202202171801W003940              IVSSH 0.5F W             CCN000039600000039600FN00000000020220301000039600NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT122031
BI00B32D9    C21304         202202241801W003940              IVSSH 0.5F W             CCN000039600000039600FN00000000020220301000039600NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT222031
BI00B32D9    C21003         202202031801W003941              IVSSH 0.5F GY            CCN000007200000007200FN00000000020220301000007200NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT321030
BI00B32D9    C21103         202202101801W003941              IVSSH 0.5F GY            CCN000003600000003600FN00000000020220301000003600NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT421025
BI00B32D9    C21203         202202171801W003941              IVSSH 0.5F GY            CCN000005400000005400FN00000000020220301000005400NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT122025
BI00B32D9    C21304         202202241801W003941              IVSSH 0.5F GY            CCN000003600000003600FN00000000020220301000003600NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT222025
BI00B32D9    C21003         202202031801W003943              IVSSH 0.5F W/B           CCN000005400000005400FN00000000020220301000005400NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT321037
BI00B32D9    C21103         202202101801W003943              IVSSH 0.5F W/B           CCN000005400000005400FN00000000020220301000005400NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT421032
BI00B32D9    C21203         202202171801W003943              IVSSH 0.5F W/B           CCN000005400000005400FN00000000020220301000005400NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT122032
BI00B32D9    C21304         202202241801W003943              IVSSH 0.5F W/B           CCN000005400000005400FN00000000020220301000005400NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT222032
BI00B32D9    C21003         202202031801W003950              IVSSH 0.5F R             CCN000043200000043200FN00000000020220301000043200NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT321034
BI00B32D9    C21103         202202101801W003950              IVSSH 0.5F R             CCN000043200000043200FN00000000020220301000043200NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT421029
BI00B32D9    C21203         202202171801W003950              IVSSH 0.5F R             CCN000043200000043200FN00000000020220301000043200NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT122029
BI00B32D9    C21304         202202241801W003950              IVSSH 0.5F R             CCN000043200000043200FN00000000020220301000043200NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT222029
BI00B32D9    C21003         202202031801W003952              IVSSH 0.5F P             CCN000005400000005400FN00000000020220301000005400NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT321033
BI00B32D9    C21103         202202101801W003952              IVSSH 0.5F P             CCN000005400000005400FN00000000020220301000005400NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT421028
BI00B32D9    C21203         202202171801W003952              IVSSH 0.5F P             CCN000005400000005400FN00000000020220301000005400NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT122028
BI00B32D9    C21304         202202241801W003952              IVSSH 0.5F P             CCN000005400000005400FN00000000020220301000005400NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT222028
BI00B32D9    C21003         202202031801W003960              IVSSH 0.5F G             CCN000025200000025200FN00000000020220301000025200NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT321029
BI00B32D9    C21103         202202101801W003960              IVSSH 0.5F G             CCN000025200000025200FN00000000020220301000025200NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT421024
BI00B32D9    C21203         202202171801W003960              IVSSH 0.5F G             CCN000025200000025200FN00000000020220301000025200NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT122024
BI00B32D9    C21304         202202241801W003960              IVSSH 0.5F G             CCN000025200000025200FN00000000020220301000025200NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT222024
BI00B32D9    C21003         202202031801W003961              IVSSH 0.5F LG            CCN000003600000003600FN00000000020220301000003600NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT321032
BI00B32D9    C21103         202202101801W003961              IVSSH 0.5F LG            CCN000001800000001800FN00000000020220301000001800NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT421027
BI00B32D9    C21203         202202171801W003961              IVSSH 0.5F LG            CCN000003600000003600FN00000000020220301000003600NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT122027
BI00B32D9    C21304         202202241801W003961              IVSSH 0.5F LG            CCN000001800000001800FN00000000020220301000001800NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT222027
BI00B32D9    C21003         202202031801W003970              IVSSH 0.5F Y             CCN000010800000010800FN00000000020220301000010800NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT321038
BI00B32D9    C21103         202202101801W003970              IVSSH 0.5F Y             CCN000010800000010800FN00000000020220301000010800NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT421033
BI00B32D9    C21203         202202171801W003970              IVSSH 0.5F Y             CCN000010800000010800FN00000000020220301000010800NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT122033
BI00B32D9    C21304         202202241801W003970              IVSSH 0.5F Y             CCN000010800000010800FN00000000020220301000010800NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT222033
BI00B32D9    C21103         202202101801W003980              IVSSH 0.5F BR            CCN000010800000010800FN00000000020220301000010800NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT421023
BI00B32D9    C21203         202202171801W003980              IVSSH 0.5F BR            CCN000010800000010800FN00000000020220301000010800NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT122023
BI00B32D9    C21304         202202241801W003980              IVSSH 0.5F BR            CCN000010800000010800FN00000000020220301000010800NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT222023
BI00B32D9    C21003         202202031801W003990              IVSSH 0.5F L             CCN000019800000019800FN00000000020220301000019800NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT321031
BI00B32D9    C21103         202202101801W003990              IVSSH 0.5F L             CCN000019800000019800FN00000000020220301000019800NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT421026
BI00B32D9    C21203         202202171801W003990              IVSSH 0.5F L             CCN000019800000019800FN00000000020220301000019800NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT122026
BI00B32D9    C21304         202202241801W003990              IVSSH 0.5F L             CCN000019800000019800FN00000000020220301000019800NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT222026
BI00B32D9    C21304         202202241801W003991              IVSSH 0.5F SB            CCN000001800000001800FN00000000020220301000001800NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT222030
BI00B32D9    C21003         202202031801W003992              IVSSH 0.5F V             CCN000001800000001800FN00000000020220301000001800NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT321035
BI00B32D9    C21103         202202101801W003992              IVSSH 0.5F V             CCN000001800000001800FN00000000020220301000001800NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT421030
BI00B32D9    C21203         202202171801W003992              IVSSH 0.5F V             CCN000001800000001800FN00000000020220301000001800NNM   20211222120223    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT122030
BI00B32D9    C21003         202202031801W004030              IVSSH 0.75F B            CCN000002600000002600FN00000000020220301000002600NNM   20211222120223    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT321039
BI00B32D9    C21103         202202101801W004030              IVSSH 0.75F B            CCN000001300000001300FN00000000020220301000001300NNM   20211222120223    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT421034
BI00B32D9    C21203         202202171801W004030              IVSSH 0.75F B            CCN000002600000002600FN00000000020220301000002600NNM   20211222120223    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT122034
BI00B32D9    C21304         202202241801W004030              IVSSH 0.75F B            CCN000001300000001300FN00000000020220301000001300NNM   20211222120223    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT222034
BI00B32D9    C21203         202202171801W004043              IVSSH 0.75F W/B          CCN000001300000001300FN00000000020220301000001300NNM   20211222120223    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT122037
BI00B32D9    C21304         202202241801W004043              IVSSH 0.75F W/B          CCN000001300000001300FN00000000020220301000001300NNM   20211222120223    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT222037
BI00B32D9    C21304         202202241801W004050              IVSSH 0.75F R            CCN000002600000002600FN00000000020220301000002600NNM   20211222120223    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT222036
BI00B32D9    C21003         202202031801W004052              IVSSH 0.75F P            CCN000001300000001300FN00000000020220301000001300NNM   20211222120223    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT321042
BI00B32D9    C21103         202202101801W004052              IVSSH 0.75F P            CCN000001300000001300FN00000000020220301000001300NNM   20211222120223    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT421035
BI00B32D9    C21203         202202171801W004052              IVSSH 0.75F P            CCN000001300000001300FN00000000020220301000001300NNM   20211222120223    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT122036
BI00B32D9    C21003         202202031801W004060              IVSSH 0.75F G            CCN000001300000001300FN00000000020220301000001300NNM   20211222120223    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT321040
BI00B32D9    C21304         202202241801W004070              IVSSH 0.75F Y            CCN000001300000001300FN00000000020220301000001300NNM   20211222120223    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT222038
BI00B32D9    C21203         202202171801W004080              IVSSH 0.75F BR           CCN000001300000001300FN00000000020220301000001300NNM   20211222120223    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT122035
BI00B32D9    C21304         202202241801W004080              IVSSH 0.75F BR           CCN000001300000001300FN00000000020220301000001300NNM   20211222120223    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT222035
BI00B32D9    C21003         202202031801W004090              IVSSH 0.75F L            CCN000001300000001300FN00000000020220301000001300NNM   20211222120223    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT321041
BI00B32D9    C21003         202202031801W006930              IVSSH 0.35F B            CCN000002500000002500FN00000000020220301000002500NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT321043
BI00B32D9    C21103         202202101801W006930              IVSSH 0.35F B            CCN000002500000002500FN00000000020220301000002500NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT421036
BI00B32D9    C21203         202202171801W006930              IVSSH 0.35F B            CCN000002500000002500FN00000000020220301000002500NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT122038
BI00B32D9    C21304         202202241801W006930              IVSSH 0.35F B            CCN000002500000002500FN00000000020220301000002500NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT222039
