BI00B32AF    @TTB2025       20220107181E48018ZZ              CAVSAS-S 0.5X2 GY/SB     CCN000000300000000300FN00000000020220201000000300NNM21 20211223082422    1W    00000030000002493000000000032AF    HBYHVTB 000000000000UZ321008
BI00B32AF    @TTB2025       20220107181E48035ZZ              CAVSAS-S 0.5X3 GY        CCN000000200000000200FN00000000020220201000000200NNM21 20211223082422    1W    00000020000003218200000000032AF    HBYHVTB 000000000000UZ321010
BI00B32G7    JW2112CMMW     202112301801W003990              IVSSH 0.5F L             CCN000001800000001800FN00000000020211201000001800NNE30 20211223160042    1W    00000180000000625000000000032G7    JIJAI   000000000000JE21B001
BI00B32H8    2202A MW       2022010718007704037              AVSS 0.75F B/Y           CCN000009000000009000FN00000000020220201000009000NNE20 20211223134601    1W    00000100000000943000000000032H8    TYTYC   000000000000LO41C016
BI00B32Q8    @EW21104 MW    20211012181D6910237              AVSSHCS 0.5FX2 B/Y       CCN000001500000000900FY00000090020211001000000000NNM00 20211223161733    1W    00000030000002792600000000032Q8    EMEMI   000000000000MI41A004
BI00B32Q8    @EW21112TMW    20211020181CQ7004ZZ              IVSSHCS-S 0.5FX2 B(R,G)  CCN000025500000012000FY00001200020211101000000000NNM20 20211223162522    1W    00000030000002333100000000032Q8    EMEMI   000000000000MT21B002
BI00B32Q8    @EW21121TMW    20211020181CQ7004ZZ              IVSSHCS-S 0.5FX2 B(R,G)  CCN000065700000054000FY00005400020211201000000000NNM00 20211223163605    1W    00000030000002333100000000032Q8    EMEMI   000000000000MU11A002
BI00B32Q8    @EW22011TMW    20211124181CQ7004ZZ              IVSSHCS-S 0.5FX2 B(R,G)  CCN000136200000130500FY00013050020220101000000000NNM00 20211223164001    1W    00000030000002333100000000032Q8    EMEMI   000000000000MU21B005
BI00B32Q8    @EW21104 MW    20220105181D6910237              AVSSHCS 0.5FX2 B/Y       CCN000000600000000600FN00000000020211001000000600NNM21 20211223161638    1W    00000030000002792600000000032Q8    EMEMI   000000000000MI41A004
BI00B32Q8    @EW21112TMW    20220105181CQ7004ZZ              IVSSHCS-S 0.5FX2 B(R,G)  CCN000013500000013500FN00000000020211101000013500NNM21 20211223162447    1W    00000030000002333100000000032Q8    EMEMI   000000000000MT21B002
BI00B32Q8    @EW21121TMW    20220105181CQ7004ZZ              IVSSHCS-S 0.5FX2 B(R,G)  CCN000011700000011700FN00000000020211201000011700NNM23 20211223163537    1W    00000030000002333100000000032Q8    EMEMI   000000000000MU11A002
BI00B32Q8    @EW22011TMW    20220112181CQ7004ZZ              IVSSHCS-S 0.5FX2 B(R,G)  CCN000005700000005700FN00000000020220101000005700NNM20 20211223163942    1W    00000030000002333100000000032Q8    EMEMI   000000000000MU21B005
