BI00A1200    HIB21121301    202202107196-2027-02             TERMINAL FEMALE          CCN000024000000024000FN00000000020220101000024000NNED0420211229200538    4P0P  0000240000000104400000120741200    YCYC    005100280028
BI00A1200    HIB21121301    202202107196-2032-02             TERMINAL FEMALE          CCN000015000000015000FN00000000020220101000015000NNED0420211229200538    4P0P  0000150000000107100000123441200    YCYC    005100280028
BI00A1200    HIB21121301    202202107126-8892-02             FUSE TERMINAL            CCN000006000000006000FN00000000020220101000006000NNED0420211229200538    4P0P  0000060000000049500000078021200    YCYC    006400630015
BI00A1200    HIB21121301    202202107195-2046-02             TERMINAL MALE            CCN000008400000008400FN00000000020220101000008400NNED0420211229200538    4P0P  0000084000000081820000111181200    YCYC    006400630015
BI00B1200    CE21-MN-0166   202202107195-2046-02             TERMINAL MALE            CCN000007500000008400FN00000000020220201000008400NNED0420211229200538    4P0P  0000084000000081820000111181200    YCYC    006400630015
BI00B1200    CE21-MN-0166   202202107126-8889-02             FUSE TERMINAL            CCN000006000000006000FN00000000020220201000006000NNED0420211229200538    4P0P  0000060000000044820000073341200    YCYC    006400630015
BI00B1200    CE21-MN-0166   202202107126-8890-02             FUSE TERMINAL            CCN000006000000006000FN00000000020220201000006000NNED0420211229200538    4P0P  0000060000000046500000075021200    YCYC    006400630015
BI00B1200    CE21-MN-0166   202202107126-8891-02             FUSE TERMINAL            CCN000006000000006000FN00000000020220201000006000NNED0420211229200538    4P0P  0000060000000048180000076701200    YCYC    006400630015
BI00B1200    CE21-MN-0166   202202107126-8892-02             FUSE TERMINAL            CCN000006000000006000FN00000000020220201000006000NNED0420211229200538    4P0P  0000060000000049500000078021200    YCYC    006400630015
BI00B1200    8670T52102     202203247172-5403-30             SEALED PACKING           CCN000004000000004000FN00000000020220401000004000NNED0420211229200538    1C0C  0000040000000065360000070171200    YCYC    004300270014
BI00B1200    8670T52103     202203317172-5403-30             SEALED PACKING           CCN000004000000004000FN00000000020220401000004000NNED0420211229200538    1C0C  0000040000000065360000070171200    YCYC    004300270014
BI00B1200    8670T52104     202204077172-5403-30             SEALED PACKING           CCN000008000000008000FN00000000020220401000008000NNED0420211229200538    1C0C  0000040000000065360000070171200    YCYC    004300270014
BI00B1200    2399T52105     202202037116-4100-02             TERMINAL                 CCN000090000000090000FN00000000020220301000090000NNM   20211229200538    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    2399T52106     202202107116-4100-02             TERMINAL                 CCN000090000000090000FN00000000020220301000090000NNM   20211229200538    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    2399T52107     202202177116-4100-02             TERMINAL                 CCN000090000000090000FN00000000020220301000090000NNM   20211229200538    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    2399T52105     202202037137-3047-30             UNIT PACKING             CCN000001000000001000FN00000000020220301000001000NNM   20211229200538    1C0C  0000010000000017050000021891200    YCYC    002700430014
BI00B1200    2399T52106     202202107137-3047-30             UNIT PACKING             CCN000001000000001000FN00000000020220301000001000NNM   20211229200538    1C0C  0000010000000017050000021891200    YCYC    002700430014
BI00B1200    2399T52107     202202177137-3047-30             UNIT PACKING             CCN000001000000001000FN00000000020220301000001000NNM   20211229200538    1C0C  0000010000000017050000021891200    YCYC    002700430014
BI00B1200    2399T52105     202202037158-3022-80             RUBBER STOPPER           CCN000015000000015000FN00000000020220301000015000NNM   20211229200538    1C0C  0000050000000046750000052401200    YCYC    002700430014
BI00B1200    2399T52106     202202107158-3022-80             RUBBER STOPPER           CCN000015000000015000FN00000000020220301000015000NNM   20211229200538    1C0C  0000050000000046750000052401200    YCYC    002700430014
BI00B1200    2399T52107     202202177158-3022-80             RUBBER STOPPER           CCN000015000000015000FN00000000020220301000015000NNM   20211229200538    1C0C  0000050000000046750000052401200    YCYC    002700430014
BI00B1200    2399T52105     202202037172-5402-30             SEAL RUBBER              CCN000008000000008000FN00000000020220301000008000NNM   20211229200538    1C0C  0000080000000045760000050601200    YCYC    004300270014
BI00B1200    2399T52105     202202037172-5403-30             SEALED PACKING           CCN000004000000004000FN00000000020220301000004000NNM   20211229200538    1C0C  0000040000000065360000070171200    YCYC    004300270014
BI00B1200    2399T52106     202202107172-5403-30             SEALED PACKING           CCN000004000000004000FN00000000020220301000004000NNM   20211229200538    1C0C  0000040000000065360000070171200    YCYC    004300270014
