BI00A1200    2399T51920     202201177288-6547                CONNECTOR MALE ASS'Y     PCN000216750000078750FN00000000020211101000078750NNM00020220106152127    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B1200    2399T52113     202202107288-6598-70             HOUSING MALE ASS'Y       CCN000025920000025920FN00000000020220301000025920NNMD0420220106132735    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T52114     202202177288-6598-70             HOUSING MALE ASS'Y       CCN000024480000024480FN00000000020220301000024480NNMD0420220106132735    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T52115     202202247288-6598-70             HOUSING MALE ASS'Y       CCN000024480000024480FN00000000020220301000024480NNMD0420220106132735    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T52116     202203037288-6598-70             HOUSING MALE ASS'Y       CCN000024480000024480FN00000000020220301000024480NNMD0420220106132735    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T52113     202202107289-5979-30             HOUSING FEMALE ASS'Y     CCN000064764000021420FN00000000020220301000021420NNMD0420220106132735    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B1200    2399T52114     202203037289-5979-30             HOUSING FEMALE ASS'Y     CCN000064512000021420FN00000000020220301000021420NNMD0420220106132735    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B1200    2399T52115     202203247289-5979-30             HOUSING FEMALE ASS'Y     CCN000064512000021420FN00000000020220301000021420NNMD0420220106132735    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B1200    2399T52116     202204217289-5979-30             HOUSING FEMALE ASS'Y     CCN000064512000021420FN00000000020220301000021420NNMD0420220106132735    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B1200    2399T52113     202202177289-6868-30             SEALED ASSY FEMALE       CCN000065520000065520FN00000000020220301000065520NNMD0420220106132735    4N0N  0000025200000083920000111921200    YCYC    005500360039
BI00B1200    2399T52114     202202247289-6868-30             SEALED ASSY FEMALE       CCN000065520000065520FN00000000020220301000065520NNMD0420220106132735    4N0N  0000025200000083920000111921200    YCYC    005500360039
BI00B1200    2399T52115     202203037289-6868-30             SEALED ASSY FEMALE       CCN000065520000065520FN00000000020220301000065520NNMD0420220106132735    4N0N  0000025200000083920000111921200    YCYC    005500360039
BI00B1200    2399T52116     202203107289-6868-30             SEALED ASSY FEMALE       CCN000065520000065520FN00000000020220301000065520NNMD0420220106132735    4N0N  0000025200000083920000111921200    YCYC    005500360039
BI00B1200    2399T52113     202202177289-9553-50             SEALED ASSY FEMALE       CCN000052920000052920FN00000000020220301000052920NNMD0420220106132735    4N0N  0000029400000110810000152061200    YCYC    005500360039
BI00B1200    2399T52114     202202247289-9553-50             SEALED ASSY FEMALE       CCN000052920000052920FN00000000020220301000052920NNMD0420220106132735    4N0N  0000029400000110810000152061200    YCYC    005500360039
BI00B1200    2399T52115     202203037289-9553-50             SEALED ASSY FEMALE       CCN000049980000049980FN00000000020220301000049980NNMD0420220106132735    4N0N  0000029400000110810000152061200    YCYC    005500360039
BI00B1200    2399T52116     202203107289-9553-50             SEALED ASSY FEMALE       CCN000049980000049980FN00000000020220301000049980NNMD0420220106132735    4N0N  0000029400000110810000152061200    YCYC    005500360039
BI00B1200    2399T52113     202202247298-1145-4W             SQUIB SUB ASS'Y          CCN000110000000110000FN00000000020220301000110000NNMD0420220106132735    4N0N  0000100000000078790000094491200    YCYC    005400370024
BI00B1200    2399T52114     202203037298-1145-4W             SQUIB SUB ASS'Y          CCN000110000000110000FN00000000020220301000110000NNMD0420220106132735    4N0N  0000100000000078790000094491200    YCYC    005400370024
BI00B1200    2399T52115     202203107298-1145-4W             SQUIB SUB ASS'Y          CCN000100000000100000FN00000000020220301000100000NNMD0420220106132735    4N0N  0000100000000078790000094491200    YCYC    005400370024
BI00B1200    2399T52116     202203177298-1145-4W             SQUIB SUB ASS'Y          CCN000100000000100000FN00000000020220301000100000NNMD0420220106132735    4N0N  0000100000000078790000094491200    YCYC    005400370024
BI00B1200    7504T211216    202201137340-9416-0W             J/B ASS'Y                CCN000000010000000010FN00000000020220101000000010NNED0720220106135113    4J0J  0000000100000054860000073401200    YCYC    005400370024
BI00B1200    2399T52113     202202177289-5979-30             HOUSING FEMALE ASS'Y     CCN000021420000021420FN00000000020220301000021420NNMD0420220106132735    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B1200    2399T52113     202202247289-5979-30             HOUSING FEMALE ASS'Y     CCN000021420000021924FN00000000020220301000021924NNMD0420220106132735    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B1200    2399T52114     202203107289-5979-30             HOUSING FEMALE ASS'Y     CCN000021420000021420FN00000000020220301000021420NNMD0420220106132735    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B1200    2399T52114     202203177289-5979-30             HOUSING FEMALE ASS'Y     CCN000021672000021672FN00000000020220301000021672NNMD0420220106132735    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B1200    2399T52115     202203317289-5979-30             HOUSING FEMALE ASS'Y     CCN000021420000021420FN00000000020220301000021420NNMD0420220106132735    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B1200    2399T52115     202204077289-5979-30             HOUSING FEMALE ASS'Y     CCN000021672000021672FN00000000020220301000021672NNMD0420220106132735    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B1200    2399T52116     202204217289-5979-30             HOUSING FEMALE ASS'Y     CCN000021420000021420FN00000000020220301000021420NNMD0420220106132735    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B1200    2399T52116     202204287289-5979-30             HOUSING FEMALE ASS'Y     CCN000021672000021672FN00000000020220301000021672NNMD0420220106132735    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B32A7    ZZ22031BMW     202202027114-4728-08             TERMINAL                 CCN000060000000060000FN00000000020220301000060000NNM   20220106144652    4P0P  00003000000000507000000801232A7    ZZZZY   006400630015
BI00B32A7    ZZ22031BMW     202202027114-4729-08             TERMINAL                 CCN000150000000150000FN00000000020220301000150000NNM   20220106144652    4P0P  00003000000000522000000816232A7    ZZZZY   006400630015
BI00B32A7    ZZ22032BMW     202202097114-4729-08             TERMINAL                 CCN000060000000060000FN00000000020220301000060000NNM   20220106144652    4P0P  00003000000000522000000816232A7    ZZZZY   006400630015
BI00B32A7    ZZ22033BMW     202202097114-4729-08             TERMINAL                 CCN000120000000120000FN00000000020220301000120000NNM   20220106144652    4P0P  00003000000000522000000816232A7    ZZZZY   006400630015
BI00B32A7    ZZ22034BMW     202202237114-4729-08             TERMINAL                 CCN000060000000060000FN00000000020220301000060000NNM   20220106144652    4P0P  00003000000000522000000816232A7    ZZZZY   006400630015
BI00B32A7    ZZ22031BMW     202202027116-3153-08             TERMINAL                 CCN000054000000054000FN00000000020220301000054000NNM   20220106144652    4P0P  00002700000000461700000746932A7    ZZZZY   006400630015
BI00B32A7    ZZ22033BMW     202202097116-3153-08             TERMINAL                 CCN000027000000027000FN00000000020220301000027000NNM   20220106144652    4P0P  00002700000000461700000746932A7    ZZZZY   006400630015
BI00B32A7    ZZ22031BMW     202202027116-3154-08             TERMINAL                 CCN000243000000243000FN00000000020220301000243000NNM   20220106144652    4P0P  00002700000000475200000760432A7    ZZZZY   006400630015
BI00B32A7    ZZ22032BMW     202202097116-3154-08             TERMINAL                 CCN000027000000027000FN00000000020220301000027000NNM   20220106144652    4P0P  00002700000000475200000760432A7    ZZZZY   006400630015
BI00B32A7    ZZ22033BMW     202202097116-3154-08             TERMINAL                 CCN000162000000162000FN00000000020220301000162000NNM   20220106144652    4P0P  00002700000000475200000760432A7    ZZZZY   006400630015
BI00B32A7    ZZ22034BMW     202202237116-3154-08             TERMINAL                 CCN000081000000081000FN00000000020220301000081000NNM   20220106144652    4P0P  00002700000000475200000760432A7    ZZZZY   006400630015
BI00B32A7    ZZ22031BMW     202202027137-3047-30             UNIT PACKING             CCN000055000000055000FN00000000020220301000055000NNM   20220106144652    1C0C  00000100000000170500000218932A7    ZZZZY   002700430014
BI00B32A7    ZZ22033BMW     202202097137-3047-30             UNIT PACKING             CCN000023000000023000FN00000000020220301000023000NNM   20220106144652    1C0C  00000100000000170500000218932A7    ZZZZY   002700430014
BI00B32A7    ZZ22034BMW     202202237137-3047-30             UNIT PACKING             CCN000013000000013000FN00000000020220301000013000NNM   20220106144652    1C0C  00000100000000170500000218932A7    ZZZZY   002700430014
BI00B32A7    ZZ22031BMW     202202027158-3006-90             RUBBER STOPPER           CCN000060000000060000FN00000000020220301000060000NNM   20220106144652    1C0C  00002000000000330600000386032A7    ZZZZY   002700430014
BI00B32A7    ZZ22032BMW     202202097158-3006-90             RUBBER STOPPER           CCN000020000000020000FN00000000020220301000020000NNM   20220106144652    1C0C  00002000000000330600000386032A7    ZZZZY   002700430014
BI00B32A7    ZZ22033BMW     202202097158-3006-90             RUBBER STOPPER           CCN000080000000080000FN00000000020220301000080000NNM   20220106144652    1C0C  00002000000000330600000386032A7    ZZZZY   002700430014
BI00B32A7    ZZ22031BMW     202202027158-3166-60             WIRE SEAL                CCN000040000000040000FN00000000020220301000040000NNM   20220106144652    1C0C  00004000000000104000000152432A7    ZZZZY   002700430014
BI00B32A7    ZZ22031BMW     202202027158-3167-80             WIRE SEAL                CCN000080000000080000FN00000000020220301000080000NNM   20220106144652    1C0C  00002000000000048000000109032A7    ZZZZY   002700430014
BI00B32A7    ZZ22031BMW     202202027172-5402-30             SEAL RUBBER              CCN000128000000128000FN00000000020220301000128000NNM   20220106144652    1C0C  00000800000000457600000506032A7    ZZZZY   004300270014
BI00B32A7    ZZ22033BMW     202202097172-5402-30             SEAL RUBBER              CCN000048000000048000FN00000000020220301000048000NNM   20220106144652    1C0C  00000800000000457600000506032A7    ZZZZY   004300270014
BI00B32A7    ZZ22034BMW     202202237172-5402-30             SEAL RUBBER              CCN000032000000032000FN00000000020220301000032000NNM   20220106144652    1C0C  00000800000000457600000506032A7    ZZZZY   004300270014
BI00B32A7    ZZ22031BMW     202202027172-5403-30             SEALED PACKING           CCN000136000000136000FN00000000020220301000136000NNM   20220106144652    1C0C  00000400000000653600000701732A7    ZZZZY   004300270014
BI00B32A7    ZZ22033BMW     202202097172-5403-30             SEALED PACKING           CCN000052000000052000FN00000000020220301000052000NNM   20220106144652    1C0C  00000400000000653600000701732A7    ZZZZY   004300270014
BI00B32A7    ZZ22034BMW     202202237172-5403-30             SEALED PACKING           CCN000028000000028000FN00000000020220301000028000NNM   20220106144652    1C0C  00000400000000653600000701732A7    ZZZZY   004300270014
BI00B32A7    ZZ22031BMW     202202027289-3342                HOUSING FEMALE ASS'Y     CCN000004800000004800FN00000000020220301000004800NNM   20220106144652    1N0N  00000240000000686400000901432A7    ZZZZY   005500360039
BI00B32A7    ZZ22033BMW     202202097289-3342                HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020220301000002400NNM   20220106144652    1N0N  00000240000000686400000901432A7    ZZZZY   005500360039
BI00B32A7    #ZZ22031BMW    202202027158-3003-90             RUBBER STOPPER           CCN000020000000020000FN00000000020220301000020000NNM   20220106144648    2C0C  00002000000000250000000306032A7    ZZZZY   002700430014
BI00B32A7    #ZZ22031BMW    202202027172-5937-90             SEAL RUBBER              CCN000005000000005000FN00000000020220301000005000NNM   20220106144648    2H0H  00000100000000620000000666832A7    ZZZZY   004300270014
