BI00B32AF    @TTB202D       20220218181B0911741              CAVSAS 0.3X3 GY          CCN000002750000002750FN00000000020220201000002750NNE   20220118142650    1W    00000025000002843000000000032AF    HBYHVTB 000000000000UT122001
BI00B32AG    @XG2203ALMW    20220202181E48031ZZ              CAVSAS-S 0.3X2 GY        CCN000006300000002100FN00000000020220301000002100NNE00 20220118112452    1W    00000035000002008700000000032AG    XGXGY   000000000000XV321001
BI00A32AG    @XG2203ALMW    20220120181E48031ZZ              CAVSAS-S 0.3X2 GY        CCN000004200000004200FN00000000020220301000004200NNE20 20220118114108    1W    00000035000002008700000000032AG    XGXGY   000000000000XV321001
BI00B32B6    W72012         202202181801W003940              IVSSH 0.5F W             CCN000025200000025200FN00000000020220501000025200NNE   20220118142738B6  1W    00000180000000625000000000032B6    AXARNE-M000000000000AW122009
BI00B32B6    W72012         202202181801W003941              IVSSH 0.5F GY            CCN000016200000016200FN00000000020220501000016200NNE   20220118142738B6  1W    00000180000000625000000000032B6    AXARNE-M000000000000AW122006
BI00B32B6    W72012         202202181801W003990              IVSSH 0.5F L             CCN000016200000016200FN00000000020220501000016200NNE   20220118142738B6  1W    00000180000000625000000000032B6    AXARNE-M000000000000AW122007
BI00B32B6    W72012         202202181801W003992              IVSSH 0.5F V             CCN000016200000016200FN00000000020220501000016200NNE   20220118142738B6  1W    00000180000000625000000000032B6    AXARNE-M000000000000AW122008
BI00B32B6    W72012         202202181801W004030              IVSSH 0.75F B            CCN000002600000002600FN00000000020220501000002600NNE   20220118142738B6  1W    00000130000000882000000000032B6    AXARNE-M000000000000AW122010
BI00B32B6    W72012         202202181801W004040              IVSSH 0.75F W            CCN000002600000002600FN00000000020220501000002600NNE   20220118142738B6  1W    00000130000000882000000000032B6    AXARNE-M000000000000AW122011
BI00B32B6    @W72012        20220218181B09039H7              CAVSAS 0.5X1 GY/W        CCN000002400000002400FN00000000020220501000002400NNE   20220118142736B6  1W    00000040000002263300000000032B6    AXARNE-M000000000000AW122005
BI00B32B6    W72013         202202251801W003950              IVSSH 0.5F R             CCN000009000000009000FN00000000020220501000009000NNM   20220118151616B6  1W    00000180000000625000000000032B6    AXARNE-M000000000000AW222003
BI00B32B6    W72013         202202251801W003961              IVSSH 0.5F LG            CCN000010800000010800FN00000000020220501000010800NNM   20220118151616B6  1W    00000180000000625000000000032B6    AXARNE-M000000000000AW222002
BI00B32B6    W72013         202202251801W003970              IVSSH 0.5F Y             CCN000012600000012600FN00000000020220501000012600NNM   20220118151616B6  1W    00000180000000625000000000032B6    AXARNE-M000000000000AW222004
BI00B32B6    W72013         202202251801W003990              IVSSH 0.5F L             CCN000012600000012600FN00000000020220501000012600NNM   20220118151616B6  1W    00000180000000625000000000032B6    AXARNE-M000000000000AW222001
BI00B32M4    TW2024B        202202241801W006930              IVSSH 0.35F B            CCN000017500000002500FN00000000020220201000002500NNE20 20220118103826    1W    00000250000000452000000000032M4    SISAI   000000000000GB222023
BI00A32M4    TW2024B        202201241801W006941              IVSSH 0.35F GY           CCN000007500000007500FN00000000020220201000007500NNE21 20220118104101    1W    00000250000000452000000000032M4    SISAI   000000000000GB222025
BI00B32M4    TW2024B        202202241801W006990              IVSSH 0.35F L            CCN000012500000005000FN00000000020220201000005000NNE20 20220118104432    1W    00000250000000452000000000032M4    SISAI   000000000000GB222026
BI00B32M4    TW2024B        202202241801W006950              IVSSH 0.35F R            CCN000012500000002500FN00000000020220201000002500NNE20 20220118104321    1W    00000250000000452000000000032M4    SISAI   000000000000GB222028
BI00B32M4    TW2024B        202202241801W006991              IVSSH 0.35F SB           CCN000007500000002500FN00000000020220201000002500NNE20 20220118104453    1W    00000250000000452000000000032M4    SISAI   000000000000GB222029
BI00A32M4    TW2024B        202201241801W006940              IVSSH 0.35F W            CCN000007500000007500FN00000000020220201000007500NNE21 20220118103841    1W    00000250000000452000000000032M4    SISAI   000000000000GB222030
