BI00B1200    7360T51A03     202206237288-3337-30             HOUSING MALE             CCN000006000000001500FN00000000020211201000001500NNMD0420220126122840    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    2399T51C19     202202107289-0269                HOUSING SUB ASSEMBLY     CCN000014400000014400FN00000000020220201000014400NNMD0320220126142057    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    #2399T52105    202203177173-3225-10             LIF LEVER                CCN000049600000049600FN00000000020220301000049600NNMD0220220126142803    2F0F  0000008000000059200000071201200    YCYC    005500360039
BI00B1200    #2399T52106    202204077173-3225-10             LIF LEVER                CCN000049600000049600FN00000000020220301000049600NNMD0220220126142835    2F0F  0000008000000059200000071201200    YCYC    005500360039
BI00B1200    #2399T52107    202204217173-3225-10             LIF LEVER                CCN000049600000049600FN00000000020220301000049600NNMD0220220126142916    2F0F  0000008000000059200000071201200    YCYC    005500360039
BI00B1200    #2399T52108    202204217173-3225-10             LIF LEVER                CCN000049600000049600FN00000000020220301000049600NNMD0220220126142948    2F0F  0000008000000059200000071201200    YCYC    005500360039
BI00B1200    2399T52113     202202107289-0269                HOUSING SUB ASSEMBLY     CCN000003200000003200FN00000000020220301000003200NNMD0320220126142121    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    2399T52203     202203037116-4100-02             TERMINAL                 CCN000255000000255000FN00000000020220401000255000NNM   20220126145333    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    2399T52204     202203107116-4100-02             TERMINAL                 CCN000255000000255000FN00000000020220401000255000NNM   20220126145333    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    2399T52205     202203177116-4100-02             TERMINAL                 CCN000255000000255000FN00000000020220401000255000NNM   20220126145333    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    2399T52206     202203247116-4100-02             TERMINAL                 CCN000255000000255000FN00000000020220401000255000NNM   20220126145333    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    2399T52203     202203037116-4111-02             TERMINAL                 CCN000015000000015000FN00000000020220401000015000NNM   20220126145333    4P0P  0000075000000052950000081771200    YCYC    006400630015
BI00B1200    2399T52204     202203107116-4111-02             TERMINAL                 CCN000015000000015000FN00000000020220401000015000NNM   20220126145333    4P0P  0000075000000052950000081771200    YCYC    006400630015
BI00B1200    2399T52205     202203177116-4111-02             TERMINAL                 CCN000015000000015000FN00000000020220401000015000NNM   20220126145333    4P0P  0000075000000052950000081771200    YCYC    006400630015
BI00B1200    2399T52203     202203037172-1372-10             FRONT HOLDER             CCN000003900000003900FN00000000020220401000003900NNM   20220126145333    4F0F  0000039000000065520000095521200    YCYC    005500360039
BI00B1200    2399T52203     202203037172-5540-80             SEALED WIRE SEAL         CCN000080000000080000FN00000000020220401000080000NNM   20220126145333    1C0C  0000200000000018600000023441200    YCYC    004300270014
BI00B1200    2399T52204     202203107172-5540-80             SEALED WIRE SEAL         CCN000080000000080000FN00000000020220401000080000NNM   20220126145333    1C0C  0000200000000018600000023441200    YCYC    004300270014
BI00B1200    2399T52205     202203177172-5540-80             SEALED WIRE SEAL         CCN000080000000080000FN00000000020220401000080000NNM   20220126145333    1C0C  0000200000000018600000023441200    YCYC    004300270014
BI00B1200    2399T52203     202203037173-3291-40             LIF LEVER                CCN000014400000014400FN00000000020220401000014400NNM   20220126145333    1F0F  0000024000000086780000106781200    YCYC    005500360039
BI00B1200    2399T52204     202203107173-3291-40             LIF LEVER                CCN000012000000012000FN00000000020220401000012000NNM   20220126145333    1F0F  0000024000000086780000106781200    YCYC    005500360039
BI00B1200    2399T52205     202203177173-3291-40             LIF LEVER                CCN000012000000012000FN00000000020220401000012000NNM   20220126145333    1F0F  0000024000000086780000106781200    YCYC    005500360039
BI00B1200    #2399T52203    202203037124-1026-30             PROTECTOR                CCN000003000000003000FN00000000020220401000003000NNM   20220126145320    2F0F  0000030000000082800000098601200    YCYC    005500360039
BI00B1200    #2399T52204    202203107124-1026-30             PROTECTOR                CCN000003000000003000FN00000000020220401000003000NNM   20220126145320    2F0F  0000030000000082800000098601200    YCYC    005500360039
BI00B1200    #2399T52205    202203177124-1026-30             PROTECTOR                CCN000003000000003000FN00000000020220401000003000NNM   20220126145320    2F0F  0000030000000082800000098601200    YCYC    005500360039
BI00B1200    #2399T52203    202203037173-3225-10             LIF LEVER                CCN000016800000016800FN00000000020220401000016800NNM   20220126145320    2F0F  0000008000000059200000071201200    YCYC    005500360039
BI00B1200    #2399T52204    202203107173-3225-10             LIF LEVER                CCN000016800000016800FN00000000020220401000016800NNM   20220126145320    2F0F  0000008000000059200000071201200    YCYC    005500360039
BI00B1200    #2399T52205    202203177173-3225-10             LIF LEVER                CCN000016800000016800FN00000000020220401000016800NNM   20220126145320    2F0F  0000008000000059200000071201200    YCYC    005500360039
BI00B1200    #2399T52203    202203037174-1270-30             SEALED COVER             CCN000001600000001600FN00000000020220401000001600NNM   20220126145320    2F0F  0000008000000056070000067911200    YCYC    005500360039
BI00B1200    #2399T52204    202203107174-1270-30             SEALED COVER             CCN000001600000001600FN00000000020220401000001600NNM   20220126145320    2F0F  0000008000000056070000067911200    YCYC    005500360039
BI00B1200    #2399T52205    202203177174-1270-30             SEALED COVER             CCN000000800000000800FN00000000020220401000000800NNM   20220126145320    2F0F  0000008000000056070000067911200    YCYC    005500360039
BI00B1200    #2399T52203    202203037174-1314-30             SEALED COVER             CCN000006400000006400FN00000000020220401000006400NNM   20220126145320    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    #2399T52204    202203107174-1314-30             SEALED COVER             CCN000005600000005600FN00000000020220401000005600NNM   20220126145320    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    #2399T52205    202203177174-1314-30             SEALED COVER             CCN000005600000005600FN00000000020220401000005600NNM   20220126145320    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    #2399T52203    202203037174-1315-30             SEALED COVER             CCN000002400000002400FN00000000020220401000002400NNM   20220126145320    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00B1200    #2399T52204    202203107174-1315-30             SEALED COVER             CCN000002400000002400FN00000000020220401000002400NNM   20220126145320    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00B1200    #2399T52205    202203177174-1315-30             SEALED COVER             CCN000002400000002400FN00000000020220401000002400NNM   20220126145320    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00B1200    2399T52207     202203247116-4111-02             TERMINAL                 CCN000015000000015000FN00000000020220401000015000NNM   20220126145519    4P0P  0000075000000052950000081771200    YCYC    006400630015
BI00B1200    2399T52208     202203317116-4111-02             TERMINAL                 CCN000015000000015000FN00000000020220401000015000NNM   20220126145519    4P0P  0000075000000052950000081771200    YCYC    006400630015
BI00B1200    2399T52207     202203247172-5540-80             SEALED WIRE SEAL         CCN000080000000080000FN00000000020220401000080000NNM   20220126145519    1C0C  0000200000000018600000023441200    YCYC    004300270014
BI00B1200    2399T52208     202203317172-5540-80             SEALED WIRE SEAL         CCN000080000000080000FN00000000020220401000080000NNM   20220126145519    1C0C  0000200000000018600000023441200    YCYC    004300270014
BI00B1200    2399T52207     202203247173-3291-40             LIF LEVER                CCN000012000000012000FN00000000020220401000012000NNM   20220126145519    1F0F  0000024000000086780000106781200    YCYC    005500360039
BI00B1200    2399T52208     202203317173-3291-40             LIF LEVER                CCN000012000000012000FN00000000020220401000012000NNM   20220126145519    1F0F  0000024000000086780000106781200    YCYC    005500360039
BI00B1200    2399T52208     202203317116-4100-02             TERMINAL                 CCN000255000000255000FN00000000020220401000255000NNM   20220126145519    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    #2399T52207    202203247124-1026-30             PROTECTOR                CCN000003000000003000FN00000000020220401000003000NNM   20220126145518    2F0F  0000030000000082800000098601200    YCYC    005500360039
BI00B1200    #2399T52207    202203247173-3225-10             LIF LEVER                CCN000016000000016000FN00000000020220401000016000NNM   20220126145518    2F0F  0000008000000059200000071201200    YCYC    005500360039
BI00B1200    #2399T52208    202203317173-3225-10             LIF LEVER                CCN000016000000016000FN00000000020220401000016000NNM   20220126145518    2F0F  0000008000000059200000071201200    YCYC    005500360039
BI00B1200    #2399T52207    202203247174-1270-30             SEALED COVER             CCN000000800000000800FN00000000020220401000000800NNM   20220126145518    2F0F  0000008000000056070000067911200    YCYC    005500360039
BI00B1200    #2399T52208    202203317174-1270-30             SEALED COVER             CCN000000800000000800FN00000000020220401000000800NNM   20220126145518    2F0F  0000008000000056070000067911200    YCYC    005500360039
BI00B1200    #2399T52207    202203247174-1314-30             SEALED COVER             CCN000005600000005600FN00000000020220401000005600NNM   20220126145518    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    #2399T52208    202203317174-1314-30             SEALED COVER             CCN000005600000005600FN00000000020220401000005600NNM   20220126145518    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    #2399T52207    202203247174-1315-30             SEALED COVER             CCN000002400000002400FN00000000020220401000002400NNM   20220126145518    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00B1200    #2399T52208    202203317174-1315-30             SEALED COVER             CCN000001600000001600FN00000000020220401000001600NNM   20220126145518    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00B1200    2399T52209     202203037174-1849-70             COVER                    CCN000125000000125000FN00000000020220401000125000NNM   20220126145645    1F0F  0000250000000062250000076191200    YCYC    005400370024
BI00B1200    2399T52210     202203107174-1849-70             COVER                    CCN000125000000125000FN00000000020220401000125000NNM   20220126145645    1F0F  0000250000000062250000076191200    YCYC    005400370024
BI00B1200    2399T52211     202203177174-1849-70             COVER                    CCN000125000000125000FN00000000020220401000125000NNM   20220126145645    1F0F  0000250000000062250000076191200    YCYC    005400370024
BI00B1200    2399T52209     202203037195-0547-02             TERMINAL ALUMINIUM       CCN000025500000025500FN00000000020220401000025500NNM   20220126145645    4P0P  0000255000000041820000076021200    YCYC    006400630015
BI00B1200    2399T52209     202203037195-0783-08             TERMINAL                 CCN000090000000090000FN00000000020220401000090000NNM   20220126145645    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    2399T52210     202203107195-0783-08             TERMINAL                 CCN000090000000090000FN00000000020220401000090000NNM   20220126145645    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    2399T52211     202203177195-0783-08             TERMINAL                 CCN000090000000090000FN00000000020220401000090000NNM   20220126145645    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    2399T52209     202203037196-0549-02             TERMINAL ALUMINIUM       CCN000038000000038000FN00000000020220401000038000NNM   20220126145645    4P0P  0000380000000059280000097921200    YCYC    006400630017
BI00B1200    2399T52209     202203037196-0550-02             TERMINAL ALUMINIUM       CCN000032000000032000FN00000000020220401000032000NNM   20220126145645    4P0P  0000320000000051520000090161200    YCYC    006400630017
BI00B1200    2399T52210     202203107196-0550-02             TERMINAL ALUMINIUM       CCN000032000000032000FN00000000020220401000032000NNM   20220126145645    4P0P  0000320000000051520000090161200    YCYC    006400630017
BI00B1200    2399T52209     202203037196-0648-02             TERMINAL                 CCN000150000000150000FN00000000020220401000150000NNM   20220126145645    4P0P  0000150000000035550000068971200    YCYC    006400630015
BI00B1200    2399T52210     202203107196-0648-02             TERMINAL                 CCN000150000000150000FN00000000020220401000150000NNM   20220126145645    4P0P  0000150000000035550000068971200    YCYC    006400630015
BI00B1200    2399T52211     202203177196-0648-02             TERMINAL                 CCN000135000000135000FN00000000020220401000135000NNM   20220126145645    4P0P  0000150000000035550000068971200    YCYC    006400630015
BI00B1200    2399T52209     202203037196-0805-02             TERMINAL FEMALE          CCN000247500000247500FN00000000020220401000247500NNM   20220126145645    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    2399T52210     202203107196-0805-02             TERMINAL FEMALE          CCN000247500000247500FN00000000020220401000247500NNM   20220126145645    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    2399T52211     202203177196-0805-02             TERMINAL FEMALE          CCN000247500000247500FN00000000020220401000247500NNM   20220126145645    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    2399T52209     202203037282-5574-10             CONNECTOR                CCN000000800000000800FN00000000020220401000000800NNM   20220126145645    4N0N  0000008000000123500000142301200    YCYC    005600390040
BI00B1200    2399T52210     202203107282-5574-10             CONNECTOR                CCN000000800000000800FN00000000020220401000000800NNM   20220126145645    4N0N  0000008000000123500000142301200    YCYC    005600390040
BI00B1200    2399T52211     202203177282-5574-10             CONNECTOR                CCN000000800000000800FN00000000020220401000000800NNM   20220126145645    4N0N  0000008000000123500000142301200    YCYC    005600390040
BI00B1200    #2399T52209    202203037174-1515                FRONT DOOR COVER         CCN000001800000001800FN00000000020220401000001800NNM   20220126145637    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T52210    202203107174-1515                FRONT DOOR COVER         CCN000001800000001800FN00000000020220401000001800NNM   20220126145637    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T52211    202203177174-1515                FRONT DOOR COVER         CCN000001800000001800FN00000000020220401000001800NNM   20220126145637    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T52212    202203247174-1515                FRONT DOOR COVER         CCN000001200000001200FN00000000020220401000001200NNM   20220126145637    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T52209    202203037174-1760-50             CAP                      CCN000006000000006000FN00000000020220401000006000NNM   20220126145637    2F0F  0000030000000081360000092261200    YCYC    005400370024
BI00B1200    #2399T52210    202203107174-1760-50             CAP                      CCN000006000000006000FN00000000020220401000006000NNM   20220126145637    2F0F  0000030000000081360000092261200    YCYC    005400370024
BI00B1200    #2399T52211    202203177174-1760-50             CAP                      CCN000006000000006000FN00000000020220401000006000NNM   20220126145637    2F0F  0000030000000081360000092261200    YCYC    005400370024
BI00B1200    #2399T52209    202203037189-3033                HOUSING FEMALE           CCN000006400000006400FN00000000020220401000006400NNM   20220126145637    2F0F  0000016000000121120000143121200    YCYC    005500360039
BI00B1200    #2399T52210    202203107189-3033                HOUSING FEMALE           CCN000006400000006400FN00000000020220401000006400NNM   20220126145637    2F0F  0000016000000121120000143121200    YCYC    005500360039
BI00B1200    #2399T52211    202203177189-3033                HOUSING FEMALE           CCN000006400000006400FN00000000020220401000006400NNM   20220126145637    2F0F  0000016000000121120000143121200    YCYC    005500360039
BI00B1200    #2399T52209    202203037189-3034-30             HOUSING FEMALE           CCN000014400000014400FN00000000020220401000014400NNM   20220126145637    2F0F  0000016000000097280000119281200    YCYC    005500360039
BI00B1200    #2399T52210    202203107189-3034-30             HOUSING FEMALE           CCN000012800000012800FN00000000020220401000012800NNM   20220126145637    2F0F  0000016000000097280000119281200    YCYC    005500360039
BI00B1200    #2399T52211    202203177189-3034-30             HOUSING FEMALE           CCN000012800000012800FN00000000020220401000012800NNM   20220126145637    2F0F  0000016000000097280000119281200    YCYC    005500360039
BI00B1200    #2399T52209    202203037189-3036                HOUSING FEMALE           CCN000006400000006400FN00000000020220401000006400NNM   20220126145637    2F0F  0000016000000092160000114161200    YCYC    005500360039
BI00B1200    #2399T52210    202203107189-3036                HOUSING FEMALE           CCN000006400000006400FN00000000020220401000006400NNM   20220126145637    2F0F  0000016000000092160000114161200    YCYC    005500360039
BI00B1200    #2399T52211    202203177189-3036                HOUSING FEMALE           CCN000006400000006400FN00000000020220401000006400NNM   20220126145637    2F0F  0000016000000092160000114161200    YCYC    005500360039
BI00B1200    #2399T52209    202203037189-3036-30             HOUSING FEMALE           CCN000001600000001600FN00000000020220401000001600NNM   20220126145637    2F0F  0000016000000092000000114001200    YCYC    005500360039
BI00B1200    #2399T52210    202203107189-3036-30             HOUSING FEMALE           CCN000001600000001600FN00000000020220401000001600NNM   20220126145637    2F0F  0000016000000092000000114001200    YCYC    005500360039
BI00B1200    #2399T52211    202203177189-3036-30             HOUSING FEMALE           CCN000001600000001600FN00000000020220401000001600NNM   20220126145637    2F0F  0000016000000092000000114001200    YCYC    005500360039
BI00B1200    #2399T52209    202203037198-1372-60             HOUSING FEMALE           CCN000004000000004000FN00000000020220401000004000NNM   20220126145637    2F0F  0000020000000085720000099521200    YCYC    005400370024
BI00B1200    #2399T52210    202203107198-1372-60             HOUSING FEMALE           CCN000004000000004000FN00000000020220401000004000NNM   20220126145637    2F0F  0000020000000085720000099521200    YCYC    005400370024
BI00B1200    #2399T52211    202203177198-1372-60             HOUSING FEMALE           CCN000004000000004000FN00000000020220401000004000NNM   20220126145637    2F0F  0000020000000085720000099521200    YCYC    005400370024
BI00B1200    #2399T52209    202203037198-1373-60             HOUSING FEMALE           CCN000014000000014000FN00000000020220401000014000NNM   20220126145637    2F0F  0000020000000081940000094741200    YCYC    005400370024
BI00B1200    #2399T52210    202203107198-1373-60             HOUSING FEMALE           CCN000014000000014000FN00000000020220401000014000NNM   20220126145637    2F0F  0000020000000081940000094741200    YCYC    005400370024
BI00B1200    #2399T52211    202203177198-1373-60             HOUSING FEMALE           CCN000014000000014000FN00000000020220401000014000NNM   20220126145637    2F0F  0000020000000081940000094741200    YCYC    005400370024
BI00B1200    2399T52213     202203247174-1849-70             COVER                    CCN000125000000125000FN00000000020220401000125000NNM   20220126145739    1F0F  0000250000000062250000076191200    YCYC    005400370024
BI00B1200    2399T52214     202203317174-1849-70             COVER                    CCN000125000000125000FN00000000020220401000125000NNM   20220126145739    1F0F  0000250000000062250000076191200    YCYC    005400370024
BI00B1200    2399T52213     202203247195-0783-08             TERMINAL                 CCN000090000000090000FN00000000020220401000090000NNM   20220126145739    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    2399T52214     202203317195-0783-08             TERMINAL                 CCN000060000000060000FN00000000020220401000060000NNM   20220126145739    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    2399T52213     202203247196-0648-02             TERMINAL                 CCN000135000000135000FN00000000020220401000135000NNM   20220126145739    4P0P  0000150000000035550000068971200    YCYC    006400630015
BI00B1200    2399T52214     202203317196-0648-02             TERMINAL                 CCN000135000000135000FN00000000020220401000135000NNM   20220126145739    4P0P  0000150000000035550000068971200    YCYC    006400630015
BI00B1200    2399T52213     202203247196-0805-02             TERMINAL FEMALE          CCN000225000000225000FN00000000020220401000225000NNM   20220126145739    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    2399T52214     202203317196-0805-02             TERMINAL FEMALE          CCN000225000000225000FN00000000020220401000225000NNM   20220126145739    4P0P  0000225000000055800000084321200    YCYC    006400630015
