BI00B32J1    @390633        20220214181E48013ZZ              CAVSAS-S 0.3X3 GY        CCN000000500000000000FY00000000020220201000000000NNE10 20220131093800    1W    00000025000002778200000000032J1    UKYEL-BL000000000000KG122009
BI00B32J1    @390633        20220214181E48015ZZ              CAVSAS-S 0.5X1 GY        CCN000001600000000000FY00000000020220201000000000NNE10 20220131093800    1W    00000040000001900600000000032J1    UKYEL-BL000000000000KG122006
BI00B32W9    4500188305     20220301180D0204130              AVSSH 1.25F B            CCN000000800000000800FN00000000020220301000000800NNE   20220131151444W93 1W    00000080000001458000000000032W93   HKYHK   000000000000ZK322003
BI00B32W9    4500188305     2022030118018403714              CAVS 0.3 L/O             CCN000002000000002000FN00000000020220301000002000NNE   20220131151444W93 1W    00000200000000471000000000032W93   HKYHK   000000000000ZK322038
BI00B32W9    4500188305     2022030118018403901              CAVS 0.5 LG/L            CCN000001500000001500FN00000000020220301000001500NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322062
BI00B32W9    4500188305     2022030118018403912              CAVS 0.5 O/G             CCN000001500000001500FN00000000020220301000001500NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322064
BI00B32W9    4500188305     2022030118009604470              AVS 5 Y                  CCN000000200000000200FN00000000020220301000000200NNE   20220131151444W93 1W    00000020000005981000000000032W93   HKYHK   000000000000ZK322033
BI00B32W9    4500188305     2022030118001403960              AV 0.5F G                CCN000002000000002000FN00000000020220301000002000NNE   20220131151444W93 1W    00000100000000903000000000032W93   HKYHK   000000000000ZK322004
BI00B32W9    4500188305     2022030118001403964              AV 0.5F G/W              CCN000002000000002000FN00000000020220301000002000NNE   20220131151444W93 1W    00000100000000903000000000032W93   HKYHK   000000000000ZK322005
BI00B32W9    4500188305     2022030118009604330              AVS 3 B                  CCN000002400000002400FN00000000020220301000002400NNE   20220131151444W93 1W    00000040000003831600000000032W93   HKYHK   000000000000ZK322015
BI00B32W9    4500188305     2022030118009604350              AVS 3 R                  CCN000000800000000800FN00000000020220301000000800NNE   20220131151444W93 1W    00000040000003831600000000032W93   HKYHK   000000000000ZK322019
BI00B32W9    4500188305     2022030118009604357              AVS 3 R/Y                CCN000000400000000400FN00000000020220301000000400NNE   20220131151444W93 1W    00000040000003831600000000032W93   HKYHK   000000000000ZK322023
BI00B32W9    4500188305     2022030118009604430              AVS 5 B                  CCN000001000000001000FN00000000020220301000001000NNE   20220131151444W93 1W    00000020000005981000000000032W93   HKYHK   000000000000ZK322028
BI00B32W9    4500188305     2022030118009604450              AVS 5 R                  CCN000001200000001200FN00000000020220301000001200NNE   20220131151444W93 1W    00000020000005981000000000032W93   HKYHK   000000000000ZK322029
BI00B32W9    4500188305     2022030118009604457              AVS 5 R/Y                CCN000000400000000400FN00000000020220301000000400NNE   20220131151444W93 1W    00000020000005981000000000032W93   HKYHK   000000000000ZK322032
BI00B32W9    4500188305     2022030118009604340              AVS 3 W                  CCN000000400000000400FN00000000020220301000000400NNE   20220131151444W93 1W    00000040000003831600000000032W93   HKYHK   000000000000ZK322024
BI00B32W9    4500188305     2022030118009604345              AVS 3 W/R                CCN000000800000000800FN00000000020220301000000800NNE   20220131151444W93 1W    00000040000003831600000000032W93   HKYHK   000000000000ZK322025
BI00B32W9    4500188305     2022030118009604354              AVS 3 R/W                CCN000000800000000800FN00000000020220301000000800NNE   20220131151444W93 1W    00000040000003831600000000032W93   HKYHK   000000000000ZK322022
BI00B32W9    4500188305     2022030118009604353              AVS 3 R/B                CCN000000800000000800FN00000000020220301000000800NNE   20220131151444W93 1W    00000040000003831600000000032W93   HKYHK   000000000000ZK322020
BI00B32W9    4500188305     2022030118009604394              AVS 3 L/W                CCN000000400000000400FN00000000020220301000000400NNE   20220131151444W93 1W    00000040000003831600000000032W93   HKYHK   000000000000ZK322018
BI00B32W9    4500188305     2022030118009604334              AVS 3 B/W                CCN000000800000000800FN00000000020220301000000800NNE   20220131151444W93 1W    00000040000003831600000000032W93   HKYHK   000000000000ZK322016
BI00B32W9    4500188305     2022030118018103964              AVS 0.5F G/W             CCN000001000000001000FN00000000020220301000001000NNE   20220131151444W93 1W    00000100000000807000000000032W93   HKYHK   000000000000ZK322034
BI00B32W9    4500188305     20220301180184039H2              CAVS 0.5 P/G             CCN000001500000001500FN00000000020220301000001500NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322067
BI00B32W9    4500188305     2022030118009604052              AVS 0.85 P               CCN000001000000001000FN00000000020220301000001000NNE   20220131151444W93 1W    00000100000001167700000000032W93   HKYHK   000000000000ZK322014
BI00B32W9    4500188305     2022030118009604393              AVS 3 L/B                CCN000000400000000400FN00000000020220301000000400NNE   20220131151444W93 1W    00000040000003831600000000032W93   HKYHK   000000000000ZK322017
BI00B32W9    4500188305     2022030118009604359              AVS 3 R/L                CCN000000400000000400FN00000000020220301000000400NNE   20220131151444W93 1W    00000040000003831600000000032W93   HKYHK   000000000000ZK322021
BI00B32W9    4500188305     2022030118009604373              AVS 3 Y/B                CCN000000800000000800FN00000000020220301000000800NNE   20220131151444W93 1W    00000040000003831600000000032W93   HKYHK   000000000000ZK322026
BI00B32W9    4500188305     2022030118009604375              AVS 3 Y/R                CCN000000400000000400FN00000000020220301000000400NNE   20220131151444W93 1W    00000040000003831600000000032W93   HKYHK   000000000000ZK322027
BI00B32W9    4500188305     2022030118009604453              AVS 5 R/B                CCN000000200000000200FN00000000020220301000000200NNE   20220131151444W93 1W    00000020000005981000000000032W93   HKYHK   000000000000ZK322030
BI00B32W9    4500188305     2022030118009604454              AVS 5 R/W                CCN000000400000000400FN00000000020220301000000400NNE   20220131151444W93 1W    00000020000005981000000000032W93   HKYHK   000000000000ZK322031
BI00B32W9    4500188305     2022030118007703964              AVSS 0.5F G/W            CCN000001500000001500FN00000000020220301000001500NNE   20220131151444W93 1W    00000150000000674000000000032W93   HKYHK   000000000000ZK322006
BI00B32W9    4500188305     2022030118007704230              AVSS 2F B                CCN000003000000003000FN00000000020220301000003000NNE   20220131151444W93 1W    00000050000002126400000000032W93   HKYHK   000000000000ZK322008
BI00B32W9    4500188305     2022030118007704254              AVSS 2F R/W              CCN000001000000001000FN00000000020220301000001000NNE   20220131151444W93 1W    00000050000002126400000000032W93   HKYHK   000000000000ZK322012
BI00B32W9    4500188305     2022030118007704259              AVSS 2F R/L              CCN000001000000001000FN00000000020220301000001000NNE   20220131151444W93 1W    00000050000002126400000000032W93   HKYHK   000000000000ZK322011
BI00B32W9    4500188305     2022030118007704256              AVSS 2F R/G              CCN000000500000000500FN00000000020220301000000500NNE   20220131151444W93 1W    00000050000002126400000000032W93   HKYHK   000000000000ZK322010
BI00B32W9    4500188305     2022030118007704276              AVSS 2F Y/G              CCN000000500000000500FN00000000020220301000000500NNE   20220131151444W93 1W    00000050000002126400000000032W93   HKYHK   000000000000ZK322013
BI00B32W9    4500188305     2022030118007704170              AVSS 1.25F Y             CCN000000800000000800FN00000000020220301000000800NNE   20220131151444W93 1W    00000080000001389000000000032W93   HKYHK   000000000000ZK322007
