BI00A32AF    @TTB202H       20220218181AD2007ZZ              CIVUSAS-S 0.5X1 B        CCN000003500000003500FN00000000020220201000003500NNE   20220217174352    1W    00000050000001639600000000032AF    HBYHVTB 000000000000UV122001
BI00B32AG    @XG22041LMW    20220223181E48031ZZ              CAVSAS-S 0.3X2 GY        CCN000009450000009450FN00000000020220401000009450NNM20 20220217174352    1W    00000035000002008700000000032AG    XGXGY   000000000000XY322001
BI00B32AG    @XG22051LMW    20220316181E48031ZZ              CAVSAS-S 0.3X2 GY        CCN000008400000008400FN00000000020220501000008400NNM20 20220217174352    1W    00000035000002008700000000032AG    XGXGY   000000000000XY323001
BI00B32G2    @SA2204A MW    20220316181D6903930              AVSSHCS 0.5FX1 B         CCN000000400000000400FN00000000020220401000000400NNE   20220217174352    1W    00000040000002285000000000032G2    AISUAI  000000000000IO123001
BI00A32P8    TAPAW-202A     20220221180D0204192              AVSSH 1.25F V            CCN000000800000000800FN00000000020220201000000800NNE   20220217174352    1W    00000080000001458000000000032P8    YIYTM   000000000000YG222002
BI00A32P8    TAPAW-202A     20220221180D0204161              AVSSH 1.25F LG           CCN000001600000001600FN00000000020220201000001600NNE   20220217174352    1W    00000080000001458000000000032P8    YIYTM   000000000000YG222001
BI00A32P8    TAPAW-202B     2022022118007703741              AVSS 0.3F GY             CCN000002000000002000FN00000000020220201000002000NNE   20220217174352    1W    00000200000000496000000000032P8    YIYTM   000000000000YH222002
BI00A32P8    TAPAW-202B     2022022118007703761              AVSS 0.3F LG             CCN000002000000002000FN00000000020220201000002000NNE   20220217174352    1W    00000200000000496000000000032P8    YIYTM   000000000000YH222003
BI00A32P8    TAPAW-202B     2022022118007703759              AVSS 0.3F R/L            CCN000002000000002000FN00000000020220201000002000NNE   20220217174352    1W    00000200000000496000000000032P8    YIYTM   000000000000YH222004
BI00A32P8    TAPAW-202B     2022022118007703791              AVSS 0.3F SB             CCN000002000000002000FN00000000020220201000002000NNE   20220217174352    1W    00000200000000496000000000032P8    YIYTM   000000000000YH222005
BI00A32P8    TAPAW-202B     2022022118007703746              AVSS 0.3F W/G            CCN000002000000002000FN00000000020220201000002000NNE   20220217174352    1W    00000200000000496000000000032P8    YIYTM   000000000000YH222006
BI00A32P8    TAPAW-202B     2022022118000004553              AV 8 R/B                 CCN000001000000001000FN00000000020220201000001000NNE   20220217174352    1W    00000010000010466200000000032P8    YIYTM   000000000000YH222001
