BI00B32AF    @TTB203F       20220311181AD2007ZZ              CIVUSAS-S 0.5X1 B        CCN000003000000003000FN00000000020220301000003000NNE   20220218150836    1W    00000050000001639600000000032AF    HBYHVTB 000000000000UY422001
BI00B32B6    W72018         202204011801W003940              IVSSH 0.5F W             CCN000018000000018000FN00000000020220601000018000NNE   20220218155708B6  1W    00000180000000625000000000032B6    AXARNE-M000000000000AW323014
BI00B32B6    W72018         202204011801W003941              IVSSH 0.5F GY            CCN000012600000012600FN00000000020220601000012600NNE   20220218155708B6  1W    00000180000000625000000000032B6    AXARNE-M000000000000AW323009
BI00B32B6    W72018         202204011801W003950              IVSSH 0.5F R             CCN000007200000007200FN00000000020220601000007200NNE   20220218155708B6  1W    00000180000000625000000000032B6    AXARNE-M000000000000AW323012
BI00B32B6    W72018         202204011801W00395U              IVSSH 0.5F BE            CCN000016200000016200FN00000000020220601000016200NNE   20220218155708B6  1W    00000180000000625000000000032B6    AXARNE-M000000000000AW323007
BI00B32B6    W72018         202204011801W003961              IVSSH 0.5F LG            CCN000010800000010800FN00000000020220601000010800NNE   20220218155708B6  1W    00000180000000625000000000032B6    AXARNE-M000000000000AW323011
BI00B32B6    W72018         202204011801W003970              IVSSH 0.5F Y             CCN000012600000012600FN00000000020220601000012600NNE   20220218155708B6  1W    00000180000000625000000000032B6    AXARNE-M000000000000AW323015
BI00B32B6    W72018         202204011801W003980              IVSSH 0.5F BR            CCN000014400000014400FN00000000020220601000014400NNE   20220218155708B6  1W    00000180000000625000000000032B6    AXARNE-M000000000000AW323008
BI00B32B6    W72018         202204011801W003990              IVSSH 0.5F L             CCN000012600000012600FN00000000020220601000012600NNE   20220218155708B6  1W    00000180000000625000000000032B6    AXARNE-M000000000000AW323010
BI00B32B6    W72018         202204011801W003992              IVSSH 0.5F V             CCN000001800000001800FN00000000020220601000001800NNE   20220218155708B6  1W    00000180000000625000000000032B6    AXARNE-M000000000000AW323013
BI00B32B6    W72018         202204011801W00405U              IVSSH 0.75F BE           CCN000002600000002600FN00000000020220601000002600NNE   20220218155708B6  1W    00000130000000882000000000032B6    AXARNE-M000000000000AW323016
BI00B32B6    W72018         202204011801W004060              IVSSH 0.75F G            CCN000002600000002600FN00000000020220601000002600NNE   20220218155708B6  1W    00000130000000882000000000032B6    AXARNE-M000000000000AW323017
BI00B32B6    W72018         202204011801W004061              IVSSH 0.75F LG           CCN000001300000001300FN00000000020220601000001300NNE   20220218155708B6  1W    00000130000000882000000000032B6    AXARNE-M000000000000AW323018
BI00B32B6    @W72018        20220401181B09039H7              CAVSAS 0.5X1 GY/W        CCN000002000000002000FN00000000020220601000002000NNE   20220218155707B6  1W    00000040000002263300000000032B6    AXARNE-M000000000000AW323006
