BI00A1200    7360T51817     202206097288-3330-30             HOUSING MALE             CCN000024000000000000FY00000000020210901000000000NNEQ0820220223143101    4N0N  0000015000000086630000101121200    YCYC    005400370024
BI00A1200    7360T51817     202206167288-3330-30             HOUSING MALE             CCN000001500000000000FY00000000020210901000000000NNEQ0820220223143101    4N0N  0000015000000086630000101121200    YCYC    005400370024
BI00A1200    7360T51817     202206237288-3330-30             HOUSING MALE             CCN000001500000000000FY00000000020210901000000000NNEQ0820220223143101    4N0N  0000015000000086630000101121200    YCYC    005400370024
BI00A1200    7360T51817     202206307288-3330-30             HOUSING MALE             CCN000001500000000000FY00000000020210901000000000NNEQ0820220223143101    4N0N  0000015000000086630000101121200    YCYC    005400370024
BI00A1200    7360T51817     202207077288-3330-30             HOUSING MALE             CCN000001500000000000FY00000000020210901000000000NNEQ0820220223143101    4N0N  0000015000000086630000101121200    YCYC    005400370024
BI00A1200    7360T51817     202207147288-3330-30             HOUSING MALE             CCN000001500000000000FY00000000020210901000000000NNEQ0820220223143101    4N0N  0000015000000086630000101121200    YCYC    005400370024
BI00A1200    7360T51817     202207217288-3330-30             HOUSING MALE             CCN000001500000000000FY00000000020210901000000000NNEQ0820220223143101    4N0N  0000015000000086630000101121200    YCYC    005400370024
BI00A1200    7360T51817     202207287288-3330-30             HOUSING MALE             CCN000001500000000000FY00000000020210901000000000NNEQ0820220223143101    4N0N  0000015000000086630000101121200    YCYC    005400370024
BI00A1200    7360T51817     202208047288-3330-30             HOUSING MALE             CCN000001500000000000FY00000000020210901000000000NNEQ0820220223143101    4N0N  0000015000000086630000101121200    YCYC    005400370024
BI00A1200    7360T51817     202208117288-3330-30             HOUSING MALE             CCN000001500000000000FY00000000020210901000000000NNEQ0820220223143101    4N0N  0000015000000086630000101121200    YCYC    005400370024
BI00A1200    7360T51817     202208187288-3330-30             HOUSING MALE             CCN000001500000000000FY00000000020210901000000000NNEQ0820220223143101    4N0N  0000015000000086630000101121200    YCYC    005400370024
BI00A1200    7360T51817     202208257288-3330-30             HOUSING MALE             CCN000001500000000000FY00000000020210901000000000NNEQ0820220223143101    4N0N  0000015000000086630000101121200    YCYC    005400370024
BI00A1200    7360T51817     202209017288-3330-30             HOUSING MALE             CCN000001500000000000FY00000000020210901000000000NNEQ0820220223143101    4N0N  0000015000000086630000101121200    YCYC    005400370024
BI00A1200    7360T51817     202209087288-3330-30             HOUSING MALE             CCN000001500000000000FY00000000020210901000000000NNEQ0820220223143101    4N0N  0000015000000086630000101121200    YCYC    005400370024
BI00A1200    7360T51817     202209157288-3330-30             HOUSING MALE             CCN000001500000000000FY00000000020210901000000000NNEQ0820220223143101    4N0N  0000015000000086630000101121200    YCYC    005400370024
BI00A1200    7360T51817     202209227288-3330-30             HOUSING MALE             CCN000001500000000000FY00000000020210901000000000NNEQ0820220223143101    4N0N  0000015000000086630000101121200    YCYC    005400370024
BI00A1200    7360T51C01     202206167288-3330-30             HOUSING MALE             CCN000003000000000000FY00000000020220101000000000NNMQ0820220223143154    4N0N  0000015000000086630000101121200    YCYC    005400370024
BI00A1200    7360T51C02     202206237288-3330-30             HOUSING MALE             CCN000001500000000000FY00000000020220101000000000NNMQ0820220223143221    4N0N  0000015000000086630000101121200    YCYC    005400370024
BI00B1200    #7360T52206    202203037172-5632-10             DUMMY PLUG               CCN000620000000620000FN00000000020220301000620000NNED0420220223121808    2H0H  0000200000000008040000013181200    YCYC    004300270014
BI00B1200    2399T52309     202204077116-4100-02             TERMINAL                 CCN000330000000330000FN00000000020220501000330000NNM   20220223121808    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    2399T52310     202204217116-4100-02             TERMINAL                 CCN000330000000330000FN00000000020220501000330000NNM   20220223121808    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    2399T52309     202204077116-4111-02             TERMINAL                 CCN000052500000052500FN00000000020220501000052500NNM   20220223121808    4P0P  0000075000000052950000081771200    YCYC    006400630015
BI00B1200    2399T52310     202204217116-4111-02             TERMINAL                 CCN000052500000052500FN00000000020220501000052500NNM   20220223121808    4P0P  0000075000000052950000081771200    YCYC    006400630015
BI00B1200    2399T52309     202204077116-4112-02             TERMINAL                 CCN000018000000018000FN00000000020220501000018000NNM   20220223121808    4P0P  0000060000000045000000073821200    YCYC    006400630015
BI00B1200    2399T52310     202204217116-4112-02             TERMINAL                 CCN000018000000018000FN00000000020220501000018000NNM   20220223121808    4P0P  0000060000000045000000073821200    YCYC    006400630015
BI00B1200    2399T52309     202204077158-3022-80             RUBBER STOPPER           CCN000035000000035000FN00000000020220501000035000NNM   20220223121808    1C0C  0000050000000046750000052401200    YCYC    002700430014
BI00B1200    2399T52310     202204217158-3022-80             RUBBER STOPPER           CCN000035000000035000FN00000000020220501000035000NNM   20220223121808    1C0C  0000050000000046750000052401200    YCYC    002700430014
BI00B1200    2399T52309     202204077172-1372-10             FRONT HOLDER             CCN000003900000003900FN00000000020220501000003900NNM   20220223121808    4F0F  0000039000000065520000095521200    YCYC    005500360039
BI00B1200    2399T52309     202204077172-5540-80             SEALED WIRE SEAL         CCN000180000000180000FN00000000020220501000180000NNM   20220223121808    1C0C  0000200000000018600000023441200    YCYC    004300270014
BI00B1200    2399T52310     202204217172-5540-80             SEALED WIRE SEAL         CCN000160000000160000FN00000000020220501000160000NNM   20220223121808    1C0C  0000200000000018600000023441200    YCYC    004300270014
BI00B1200    2399T52309     202204077173-3291-40             LIF LEVER                CCN000021600000021600FN00000000020220501000021600NNM   20220223121808    1F0F  0000024000000086780000106781200    YCYC    005500360039
BI00B1200    2399T52310     202204217173-3291-40             LIF LEVER                CCN000021600000021600FN00000000020220501000021600NNM   20220223121808    1F0F  0000024000000086780000106781200    YCYC    005500360039
BI00B1200    #2399T52309    202204077124-1026-30             PROTECTOR                CCN000006000000006000FN00000000020220501000006000NNM   20220223121808    2F0F  0000030000000082800000098601200    YCYC    005500360039
BI00B1200    #2399T52310    202204217124-1026-30             PROTECTOR                CCN000006000000006000FN00000000020220501000006000NNM   20220223121808    2F0F  0000030000000082800000098601200    YCYC    005500360039
BI00B1200    #2399T52309    202204077154-5597-30             CASSETTE R/B             CCN000012000000012000FN00000000020220501000012000NNM   20220223121808    2F0F  0000008000000073600000095201200    YCYC    005500360039
BI00B1200    #2399T52310    202204217154-5597-30             CASSETTE R/B             CCN000012000000012000FN00000000020220501000012000NNM   20220223121808    2F0F  0000008000000073600000095201200    YCYC    005500360039
BI00B1200    #2399T52309    202204077173-3225-10             LIF LEVER                CCN000016800000016800FN00000000020220501000016800NNM   20220223121808    2F0F  0000008000000059200000071201200    YCYC    005500360039
BI00B1200    #2399T52310    202204217173-3225-10             LIF LEVER                CCN000016800000016800FN00000000020220501000016800NNM   20220223121808    2F0F  0000008000000059200000071201200    YCYC    005500360039
