BI00A32B6    @TAPP13C1F     20220301181AD2011ZZ              CIVUSAS-S 0.75X2 B       CCN000000700000000700FN00000000020220301000000700NNE   20220228151207B6  1W    00000035000002761100000000032B6    AXARNE-M000000000000AT422002
BI00A32B6    @TAPP13C1F     20220301181AD2013ZZ              CIVUSAS-S 1.25X2 B       CCN000000880000000880FN00000000020220301000000880NNE   20220228151207B6  1W    00000022000003840000000000032B6    AXARNE-M000000000000AT422003
BI00B32DE    TT204D         2022032418007703945              AVSS 0.5F W/R            CCN000001500000001500FN00000000020220401000001500NNE   20220228152817    1W    00000150000000674000000000032DE    TVYEV-TV000000000000VU223007
BI00B32DE    TT204D         2022032418007703973              AVSS 0.5F Y/B            CCN000001500000001500FN00000000020220401000001500NNE   20220228152817    1W    00000150000000674000000000032DE    TVYEV-TV000000000000VU223008
BI00B32DE    TT204D         2022032418007704130              AVSS 1.25F B             CCN000000800000000800FN00000000020220401000000800NNE   20220228152817    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VU223009
BI00B32DE    TT204D         2022032418007704160              AVSS 1.25F G             CCN000003200000003200FN00000000020220401000003200NNE   20220228152817    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VU223010
BI00B32DE    TT204D         2022032418007704143              AVSS 1.25F W/B           CCN000001600000001600FN00000000020220401000001600NNE   20220228152817    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VU223011
BI00B32DE    TT204D         20220324180D0203953              AVSSH 0.5F R/B           CCN000001500000001500FN00000000020220401000001500NNE   20220228152817    1W    00000150000000689000000000032DE    TVYEV-TV000000000000VU223004
BI00B32DE    TT204D         20220324180D0204059              AVSSH 0.75F R/L          CCN000002000000002000FN00000000020220401000002000NNE   20220228152817    1W    00000100000000934000000000032DE    TVYEV-TV000000000000VU223005
BI00B32DE    TT204D         20220324180D0204149              AVSSH 1.25F W/L          CCN000002400000002400FN00000000020220401000002400NNE   20220228152817    1W    00000080000001458000000000032DE    TVYEV-TV000000000000VU223006
BI00B32DE    @TT204D        20220324181E50013ZZ              AVSSCS-S 0.5FX1 DGY/G    CCN000001600000001600FN00000000020220401000001600NNE   20220228152816    1W    00000040000001909700000000032DE    TVYEV-TV000000000000VU223001
BI00B32DE    @TT204D        20220324181F21004ZZ              AVSSHCS-S 0.5FX1 B/R     CCN000000800000000800FN00000000020220401000000800NNE   20220228152816    1W    00000040000001908400000000032DE    TVYEV-TV000000000000VU223002
BI00B32DE    @TT204D        20220324181F21006ZZ              AVSSHCS-S 0.5FX1 B/Y     CCN000000400000000400FN00000000020220401000000400NNE   20220228152816    1W    00000040000001908400000000032DE    TVYEV-TV000000000000VU223003
BI00B32DG    RW2043A        202203241801W003961              IVSSH 0.5F LG            CCN000003600000003600FN00000000020220401000003600NNE   20220228152823    1W    00000180000000625000000000032DG    BFSAIBF 000000000000GV223001
BI00B32G0    TZ2204AEMW     20220308180D0203760              AVSSH 0.3F G             CCN000016000000016000FN00000000020220401000016000NNE   20220228144417    1W    00000200000000515000000000032G0    TTTJY   000000000000NF422001
BI00B32G0    TZ2204AEMW     20220308180D0203743              AVSSH 0.3F W/B           CCN000010000000006000FN00000000020220401000006000NNE00 20220228144704    1W    00000200000000515000000000032G0    TTTJY   000000000000NF422002
BI00A32G0    TZ2204AEMW     20220302180D0203743              AVSSH 0.3F W/B           CCN000004000000004000FN00000000020220401000004000NNE20 20220228144704    1W    00000200000000515000000000032G0    TTTJY   000000000000NF422002
BI00B32G0    TZ22061EMW     2022041918007703730              AVSS 0.3F B              CCN000004000000004000FN00000000020220601000004000NNM   20220228151033    1W    00000200000000496000000000032G0    TTTJY   000000000000NE124056
BI00B32G0    TZ22062EMW     2022042618007703730              AVSS 0.3F B              CCN000004000000004000FN00000000020220601000004000NNM   20220228151033    1W    00000200000000496000000000032G0    TTTJY   000000000000NE224040
BI00B32G0    TZ22061EMW     2022041918007703752              AVSS 0.3F P              CCN000004000000004000FN00000000020220601000004000NNM   20220228151033    1W    00000200000000496000000000032G0    TTTJY   000000000000NE124057
BI00B32G0    TZ22061EMW     2022041918007703750              AVSS 0.3F R              CCN000006000000006000FN00000000020220601000006000NNM   20220228151033    1W    00000200000000496000000000032G0    TTTJY   000000000000NE124058
BI00B32G0    TZ22061EMW     2022041918007703792              AVSS 0.3F V              CCN000008000000008000FN00000000020220601000008000NNM   20220228151033    1W    00000200000000496000000000032G0    TTTJY   000000000000NE124059
BI00B32G0    TZ22062EMW     2022042618007703792              AVSS 0.3F V              CCN000004000000004000FN00000000020220601000004000NNM   20220228151033    1W    00000200000000496000000000032G0    TTTJY   000000000000NE224041
BI00B32G0    TZ22061EMW     20220419180D0203760              AVSSH 0.3F G             CCN000018000000018000FN00000000020220601000018000NNM   20220228151033    1W    00000200000000515000000000032G0    TTTJY   000000000000NE124041
BI00B32G0    TZ22062EMW     20220426180D0203760              AVSSH 0.3F G             CCN000004000000004000FN00000000020220601000004000NNM   20220228151033    1W    00000200000000515000000000032G0    TTTJY   000000000000NE224031
BI00B32G0    TZ22061EMW     20220419180D0203761              AVSSH 0.3F LG            CCN000020000000020000FN00000000020220601000020000NNM   20220228151033    1W    00000200000000515000000000032G0    TTTJY   000000000000NE124042
BI00B32G0    TZ22062EMW     20220426180D0203761              AVSSH 0.3F LG            CCN000010000000010000FN00000000020220601000010000NNM   20220228151033    1W    00000200000000515000000000032G0    TTTJY   000000000000NE224032
BI00B32G0    TZ22061EMW     20220419180D0203740              AVSSH 0.3F W             CCN000004000000004000FN00000000020220601000004000NNM   20220228151033    1W    00000200000000515000000000032G0    TTTJY   000000000000NE124043
BI00B32G0    TZ22062EMW     20220426180D0203740              AVSSH 0.3F W             CCN000004000000004000FN00000000020220601000004000NNM   20220228151033    1W    00000200000000515000000000032G0    TTTJY   000000000000NE224033
BI00B32G0    TZ22061EMW     20220419180D0203743              AVSSH 0.3F W/B           CCN000004000000004000FN00000000020220601000004000NNM   20220228151033    1W    00000200000000515000000000032G0    TTTJY   000000000000NE124044
BI00B32G0    TZ22061EMW     20220419180D0203930              AVSSH 0.5F B             CCN000001500000001500FN00000000020220601000001500NNM   20220228151033    1W    00000150000000689000000000032G0    TTTJY   000000000000NE124045
BI00B32G0    TZ22061EMW     20220419180D0203980              AVSSH 0.5F BR            CCN000003000000003000FN00000000020220601000003000NNM   20220228151033    1W    00000150000000689000000000032G0    TTTJY   000000000000NE124046
BI00B32G0    TZ22061EMW     20220419180D0203990              AVSSH 0.5F L             CCN000004500000004500FN00000000020220601000004500NNM   20220228151033    1W    00000150000000689000000000032G0    TTTJY   000000000000NE124047
BI00B32G0    TZ22061EMW     20220419180D0203950              AVSSH 0.5F R             CCN000006000000006000FN00000000020220601000006000NNM   20220228151033    1W    00000150000000689000000000032G0    TTTJY   000000000000NE124048
BI00B32G0    TZ22062EMW     20220426180D0203950              AVSSH 0.5F R             CCN000003000000003000FN00000000020220601000003000NNM   20220228151033    1W    00000150000000689000000000032G0    TTTJY   000000000000NE224034
BI00B32G0    TZ22061EMW     20220419180D0203992              AVSSH 0.5F V             CCN000001500000001500FN00000000020220601000001500NNM   20220228151033    1W    00000150000000689000000000032G0    TTTJY   000000000000NE124049
BI00B32G0    TZ22061EMW     20220419180D0204030              AVSSH 0.75F B            CCN000009000000009000FN00000000020220601000009000NNM   20220228151033    1W    00000100000000934000000000032G0    TTTJY   000000000000NE124050
BI00B32G0    TZ22062EMW     20220426180D0204030              AVSSH 0.75F B            CCN000005000000005000FN00000000020220601000005000NNM   20220228151033    1W    00000100000000934000000000032G0    TTTJY   000000000000NE224035
BI00B32G0    TZ22061EMW     20220419180D0204043              AVSSH 0.75F W/B          CCN000015000000015000FN00000000020220601000015000NNM   20220228151033    1W    00000100000000934000000000032G0    TTTJY   000000000000NE124051
BI00B32G0    TZ22062EMW     20220426180D0204043              AVSSH 0.75F W/B          CCN000009000000009000FN00000000020220601000009000NNM   20220228151033    1W    00000100000000934000000000032G0    TTTJY   000000000000NE224036
BI00B32G0    TZ22061EMW     20220419180D0204160              AVSSH 1.25F G            CCN000008000000008000FN00000000020220601000008000NNM   20220228151033    1W    00000080000001458000000000032G0    TTTJY   000000000000NE124052
BI00B32G0    TZ22062EMW     20220426180D0204160              AVSSH 1.25F G            CCN000007200000007200FN00000000020220601000007200NNM   20220228151033    1W    00000080000001458000000000032G0    TTTJY   000000000000NE224037
BI00B32G0    TZ22061EMW     20220419180D0204190              AVSSH 1.25F L            CCN000002400000002400FN00000000020220601000002400NNM   20220228151033    1W    00000080000001458000000000032G0    TTTJY   000000000000NE124053
BI00B32G0    TZ22061EMW     20220419180D0204150              AVSSH 1.25F R            CCN000006400000006400FN00000000020220601000006400NNM   20220228151033    1W    00000080000001458000000000032G0    TTTJY   000000000000NE124054
BI00B32G0    TZ22062EMW     20220426180D0204150              AVSSH 1.25F R            CCN000005600000005600FN00000000020220601000005600NNM   20220228151033    1W    00000080000001458000000000032G0    TTTJY   000000000000NE224038
BI00B32G0    TZ22061EMW     20220419180D0204143              AVSSH 1.25F W/B          CCN000003200000003200FN00000000020220601000003200NNM   20220228151033    1W    00000080000001458000000000032G0    TTTJY   000000000000NE124055
BI00B32G0    TZ22062EMW     20220426180D0204143              AVSSH 1.25F W/B          CCN000001600000001600FN00000000020220601000001600NNM   20220228151033    1W    00000080000001458000000000032G0    TTTJY   000000000000NE224039
BI00B32G0    @TZ22061EMW    20220419181E50002ZZ              AVSSCS-S 0.3FX2 DGY/G    CCN000001400000001400FN00000000020220601000001400NNM   20220228151032    1W    00000035000002165000000000032G0    TTTJY   000000000000NE124028
BI00B32G0    @TZ22062EMW    20220426181E50002ZZ              AVSSCS-S 0.3FX2 DGY/G    CCN000001050000001050FN00000000020220601000001050NNM   20220228151032    1W    00000035000002165000000000032G0    TTTJY   000000000000NE224018
BI00B32G0    @TZ22061EMW    20220419181E50014ZZ              AVSSCS-S 0.5FX1 DGY/R    CCN000000400000000400FN00000000020220601000000400NNM   20220228151032    1W    00000040000001909700000000032G0    TTTJY   000000000000NE124026
BI00B32G0    @TZ22061EMW    20220419181E50036ZZ              AVSSCS-S 0.3FX2 DGY      CCN000001050000001050FN00000000020220601000001050NNM   20220228151032    1W    00000035000002165000000000032G0    TTTJY   000000000000NE124027
BI00B32G0    @TZ22062EMW    20220426181E50036ZZ              AVSSCS-S 0.3FX2 DGY      CCN000001050000001050FN00000000020220601000001050NNM   20220228151032    1W    00000035000002165000000000032G0    TTTJY   000000000000NE224017
BI00B32H0    @TT2204ADMW    20220322181E50003ZZ              AVSSCS-S 0.3FX2 DGY/BR   CCN000000700000000700FN00000000020220401000000700NNE   20220228155658    1W    00000035000002165000000000032H0    TTTJY   000000000000NO223003
BI00B32H0    @TT2204ADMW    20220322181E50011ZZ              AVSSCS-S 0.5FX2 DGY/Y    CCN000000300000000300FN00000000020220401000000300NNE   20220228155658    1W    00000030000003096000000000032H0    TTTJY   000000000000NO223002
