BI00A1200    2399T51C15     202203257288-6547                CONNECTOR MALE ASS'Y     PCN000120000000120000FN00000000020220101000120000NNMM0020220301164603    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B1200    O022G50001     202206167116-4100-02             TERMINAL                 CCN000045000000045000FN00000000020220701000045000NNE   20220301121453    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B32AF    #JTB2033       202202287158-3008-80             RUBBER STOPPER           CCN000020000000020000FY00002000020220301000000000NNMD0620220301133510    2C0C  00002000000000288000000343032AF    HBYHVTB 004300270014
BI00B32AF    JTB2042        202204017158-3009-60             RUBBER STOPPER           CCN000080000000080000FN00000000020220401000080000NNMD0020220301155408    1C0C  00002000000000338000000386232AF    HBYHVTB 002700430014
BI00B32AF    JTB2043        202204087158-3009-60             RUBBER STOPPER           CCN000120000000120000FN00000000020220401000120000NNMD0020220301155555    1C0C  00002000000000338000000386232AF    HBYHVTB 002700430014
BI00B32AF    JTB2042        202204017158-3070-80             RUBBER STOPPER           CCN000040000000040000FN00000000020220401000040000NNMD0020220301155452    1C0C  00004000000000276000000333332AF    HBYHVTB 002700430014
BI00B32AF    JTB2043        202204087158-3070-80             RUBBER STOPPER           CCN000080000000080000FN00000000020220401000080000NNMD0020220301155657    1C0C  00004000000000276000000333332AF    HBYHVTB 002700430014
BI00B32A7    ZZ22051BMW     202204067017-1180-02             TERMINAL                 CCN000072000000072000FN00000000020220501000072000NNM   20220301132636    4P0P  00007200000001065600001229032A7    ZZZZY   005100280028
BI00B32A7    ZZ22054BMW     202204277114-4032                TERMINAL                 CCN000007500000007500FN00000000020220501000007500NNM   20220301132636    4P0P  00000750000000735000001063632A7    ZZZZY   006400630017
BI00B32A7    ZZ22052BMW     202204127114-4728-08             TERMINAL                 CCN000030000000030000FN00000000020220501000030000NNM   20220301132636    4P0P  00003000000000507000000801232A7    ZZZZY   006400630015
BI00B32A7    ZZ22054BMW     202204277114-4728-08             TERMINAL                 CCN000030000000030000FN00000000020220501000030000NNM   20220301132636    4P0P  00003000000000507000000801232A7    ZZZZY   006400630015
BI00B32A7    ZZ22053BMW     202204207114-4729-08             TERMINAL                 CCN000030000000030000FN00000000020220501000030000NNM   20220301132636    4P0P  00003000000000522000000816232A7    ZZZZY   006400630015
BI00B32A7    ZZ22054BMW     202204277114-4729-08             TERMINAL                 CCN000030000000030000FN00000000020220501000030000NNM   20220301132636    4P0P  00003000000000522000000816232A7    ZZZZY   006400630015
BI00B32A7    ZZ22051BMW     202204067116-3153-08             TERMINAL                 CCN000027000000027000FN00000000020220501000027000NNM   20220301132636    4P0P  00002700000000461700000746932A7    ZZZZY   006400630015
BI00B32A7    ZZ22052BMW     202204127116-3153-08             TERMINAL                 CCN000027000000027000FN00000000020220501000027000NNM   20220301132636    4P0P  00002700000000461700000746932A7    ZZZZY   006400630015
BI00B32A7    ZZ22053BMW     202204207116-3153-08             TERMINAL                 CCN000027000000027000FN00000000020220501000027000NNM   20220301132636    4P0P  00002700000000461700000746932A7    ZZZZY   006400630015
BI00B32A7    ZZ22053BMW     202204207116-3154-08             TERMINAL                 CCN000054000000054000FN00000000020220501000054000NNM   20220301132636    4P0P  00002700000000475200000760432A7    ZZZZY   006400630015
