BI00B1200    #8670T52104    202203317172-5629-80             RUBBER STOPPER           CCN000020000000020000FN00000000020220401000020000NNE00020220324161652    2H0H  0000200000000006000000011111200    YCYC    004300270014
BI00B1200    8870T52203     202205197289-3342                HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020220501000002400NNED0420220324122018    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    8750T52301     202205057289-3342                HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020220501000002400NNMD0420220324122018    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52316     202204217289-3342                HOUSING FEMALE ASS'Y     CCN000004800000004800FN00000000020220501000004800NNMD0420220324122018    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52317     202205057289-3342                HOUSING FEMALE ASS'Y     CCN000004800000004800FN00000000020220501000004800NNMD0420220324122018    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52319     202205127289-3342                HOUSING FEMALE ASS'Y     CCN000004800000004800FN00000000020220501000004800NNMD0420220324122018    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7860T52301     202205197289-3342                HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020220501000002400NNMD0420220324122018    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7800T52401     202204217388-2978-30             HOUSING MALE ASS'Y       CCN000000480000000480FN00000000020220501000000480NNE   20220324142008    1N0N  0000004800000074200000112201200    YCYC    005500360039
BI00B1200    8750T52401     202205057288-3340-30             HOUSING MALE             CCN000007500000007500FN00000000020220601000007500NNM   20220324142238    4N0N  0000015000000086150000100641200    YCYC    005400370024
BI00B1200    8750T52401     202205057289-3342                HOUSING FEMALE ASS'Y     CCN000007200000007200FN00000000020220601000007200NNM   20220324142238    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    #8750T52401    202205057189-3031-30             HOUSING FEMALE           CCN000007200000007200FN00000000020220601000007200NNM   20220324142235    2F0F  0000024000000092880000136581200    YCYC    005500360039
BI00B1200    #H322F50024    202205267174-1760-50             CAP                      CCN000030000000030000FN00000000020220601000030000NNE   20220324142307    2F0F  0000030000000081360000092261200    YCYC    005400370024
BI00B1200    O022E50411     202205267298-1187-30             SHUNT RING ASSEMBLY      CCN000020000000020000FN00000000020220601000020000NNE   20220324142333    4N0N  0000100000000064700000076951200    YCYC    005400370024
BI00B1200    O022F50119     202205267116-4100-02             TERMINAL                 CCN000045000000045000FN00000000020220601000045000NNE   20220324142401    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    O022F50120     202205267116-4100-02             TERMINAL                 CCN000075000000075000FN00000000020220601000075000NNE   20220324142543    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    O022F50121     202205267116-4100-02             TERMINAL                 CCN000060000000060000FN00000000020220601000060000NNE   20220324142606    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    O022F50122     202205267116-4100-02             TERMINAL                 CCN000045000000045000FN00000000020220601000045000NNE   20220324142627    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    Y122E030       202204077288-3330-30             HOUSING MALE             CCN000001500000001500FN00000000020220501000001500NNE   20220324143123    4N0N  0000015000000086630000101121200    YCYC    005400370024
BI00B1200    CE22-MN-0056   202204077196-1462-06             TERMINAL FEMALE          CCN000021000000021000FN00000000020220401000021000NNE   20220324143520    4P0P  0000210000000035280000065931200    YCYC    006400630015
BI00B1200    7504T220323    202204217340-9416-0W             J/B ASS'Y                CCN000000040000000040FN00000000020220401000000040NNED0720220324144017    4J0J  0000000100000054860000073401200    YCYC    005400370024
BI00B1200    7504T220323    202204217340-9147-0W             J/B ASS'Y                CCN000000020000000020FN00000000020220401000000020NNED0720220324144017    4J0J  0000000100000053400000071831200    YCYC    005400370024
