BI00B32AG    #XG2205AHMW    202204297158-3005-80             RUBBER STOPPER           CCN000020000000020000FN00000000020220501000020000NNE   20220330121714    2H0H  00002000000000210000000268732AG    XGXGY   002700430014
BI00A32B6    A72016A        202204077287-0192-40             SEALED HOUSING ASS'Y     CCN000001440000001440FN00000000020220401000001440NNED0720220330150307B6  4N0N  00000048000001092000001322032B6    AXARNE-M005600390040
BI00A32B7    A82016A        202204077283-8599-30             CONNECTOR                CCN000003080000003080FN00000000020220401000003080NNED0720220330151728B7  4N0N  00000154000000947100001157032B7    AXARNE-M005600390023
BI00B32CH    SJ2204AHMW     202204077327-6937-30             MULTI FUSE               CCN000000576000000288FN00000000020220401000000288NNED0420220330121714    4N0N  00000028800001013600001179532CH    SJSAMIJF005400370024
BI00A32CH    SJ2204AHMW     202204077327-6937-30             MULTI FUSE               CCN000000288000000288FN00000000020220401000000288NNEM0020220330121714    4N0N  00000028800001013600001179532CH    SJSAMIJF005400370024
BI00B32CJ    JQN2041        202204087327-6987-3W             BATTERY FUSE             CCN000002000000001872FN00000000020220401000001872NNMD0020220330173614    4N0N  00000007200000511300000711532CJ    QNYHVQN 005500360039
BI00B32CJ    JQN2051        202205267327-6987-3W             BATTERY FUSE             CCN000002088000000104FN00000000020220501000000104NNMD0420220330152956    4N0N  00000007200000511300000711532CJ    QNYHVQN 005500360039
BI00B32CJ    JQN2051        202204227327-6987-3W             BATTERY FUSE             CCN000001984000001984FN00000000020220501000001984NNMD0020220330153003    4N0N  00000007200000511300000711532CJ    QNYHVQN 005500360039
BI00B32DA    SBT2206        202204287114-4020                TERMINAL                 CCN000052500000063000FN00000000020220601000063000NNM   20220330131242    4P0P  00002100000000875700001169332DA    GBYIPLGB006400630015
BI00B32DA    SBT2206A       202205057114-4020                TERMINAL                 CCN000052500000063000FN00000000020220601000063000NNM   20220330131242    4P0P  00002100000000875700001169332DA    GBYIPLGB006400630015
BI00B32DA    SBT2206        202204287114-4021                TERMINAL                 CCN000105000000105000FN00000000020220601000105000NNM   20220330131242    4P0P  00001500000000670500000964132DA    GBYIPLGB006400630015
BI00B32DA    SBT2206A       202205057114-4021                TERMINAL                 CCN000105000000105000FN00000000020220601000105000NNM   20220330131242    4P0P  00001500000000670500000964132DA    GBYIPLGB006400630015
BI00B32DA    SBT2206        202204287114-4032                TERMINAL                 CCN000015000000015000FN00000000020220601000015000NNM   20220330131242    4P0P  00000750000000735000001063632DA    GBYIPLGB006400630017
BI00B32DA    SBT2206A       202205057114-4032                TERMINAL                 CCN000015000000015000FN00000000020220601000015000NNM   20220330131242    4P0P  00000750000000735000001063632DA    GBYIPLGB006400630017
BI00B32DA    SBT2206        202204287116-1301                TERMINAL                 CCN000007500000015000FN00000000020220601000015000NNM   20220330131242    4P0P  00001500000000487500000772732DA    GBYIPLGB006400630015
BI00B32DA    SBT2206A       202205057116-1301                TERMINAL                 CCN000007500000015000FN00000000020220601000015000NNM   20220330131242    4P0P  00001500000000487500000772732DA    GBYIPLGB006400630015
BI00B32DA    SBT2206        202204287116-4020                TERMINAL                 CCN000054000000054000FN00000000020220601000054000NNM   20220330131242    4P0P  00001350000000513000000798232DA    GBYIPLGB006400630015
BI00B32DA    SBT2206A       202205057116-4020                TERMINAL                 CCN000054000000054000FN00000000020220601000054000NNM   20220330131242    4P0P  00001350000000513000000798232DA    GBYIPLGB006400630015
BI00B32DA    SBT2206        202204287116-4022                TERMINAL                 CCN000027000000027000FN00000000020220601000027000NNM   20220330131242    4P0P  00001350000000618300000903532DA    GBYIPLGB006400630015
BI00B32DA    SBT2206A       202205057116-4022                TERMINAL                 CCN000027000000027000FN00000000020220601000027000NNM   20220330131242    4P0P  00001350000000618300000903532DA    GBYIPLGB006400630015
BI00B32DA    SBT2206        202204287116-4025                TERMINAL                 CCN000208000000208000FN00000000020220601000208000NNM   20220330131242    4P0P  00001600000000644800000975132DA    GBYIPLGB006400630017
BI00B32DA    SBT2206A       202205057116-4025                TERMINAL                 CCN000208000000208000FN00000000020220601000208000NNM   20220330131242    4P0P  00001600000000644800000975132DA    GBYIPLGB006400630017
BI00B32DA    SBT2206        202204287116-4026                TERMINAL                 CCN000112000000112000FN00000000020220601000112000NNM   20220330131242    4P0P  00001600000000664000000994332DA    GBYIPLGB006400630017
BI00B32DA    SBT2206A       202205057116-4026                TERMINAL                 CCN000112000000112000FN00000000020220601000112000NNM   20220330131242    4P0P  00001600000000664000000994332DA    GBYIPLGB006400630017
BI00B32DA    SBT2206        202204287116-4032                TERMINAL                 CCN000045000000048000FN00000000020220601000048000NNM   20220330131242    4P0P  00000600000000532800000818032DA    GBYIPLGB006400630015
BI00B32DA    SBT2206A       202205057116-4032                TERMINAL                 CCN000045000000048000FN00000000020220601000048000NNM   20220330131242    4P0P  00000600000000532800000818032DA    GBYIPLGB006400630015
BI00B32DA    SBT2206        202204287116-4037                TERMINAL                 CCN000042000000042000FN00000000020220601000042000NNM   20220330131242    4P0P  00000600000000600000000894232DA    GBYIPLGB006400630015
BI00B32DA    SBT2206A       202205057116-4037                TERMINAL                 CCN000042000000042000FN00000000020220601000042000NNM   20220330131242    4P0P  00000600000000600000000894232DA    GBYIPLGB006400630015
BI00B32DA    SBT2206        202204287116-6042                TERMINAL                 CCN000018000000018000FN00000000020220601000018000NNM   20220330131242    4P0P  00000300000000523800000856132DA    GBYIPLGB006400630015
BI00B32DA    SBT2206A       202205057116-6042                TERMINAL                 CCN000018000000018000FN00000000020220601000018000NNM   20220330131242    4P0P  00000300000000523800000856132DA    GBYIPLGB006400630015
BI00B32DA    SBT2206        202204287283-5830                CONNECTOR                CCN000012000000012000FN00000000020220601000012000NNM   20220330131242    1N47  00000600000000954000001104032DA    GBYIPLGB005500360039
BI00B32DA    SBT2206A       202205057283-5830                CONNECTOR                CCN000012000000012000FN00000000020220601000012000NNM   20220330131242    1N47  00000600000000954000001104032DA    GBYIPLGB005500360039
BI00B32DA    SBT2206        202204287283-5845                CONNECTOR HOUSING        CCN000018000000018000FN00000000020220601000018000NNM   20220330131242    1N0N  00000600000000444000000606332DA    GBYIPLGB005400370024
BI00B32DA    SBT2206A       202205057283-5845                CONNECTOR HOUSING        CCN000018000000018000FN00000000020220601000018000NNM   20220330131242    1N0N  00000600000000444000000606332DA    GBYIPLGB005400370024
BI00B32DA    SBT2206        202204287287-9234                JOINT CONNECTOR          CCN000052800000057600FN00000000020220601000057600NNM   20220330131242    4N0N  00000960000000893800001184832DA    GBYIPLGB005500360039
BI00B32DA    SBT2206A       202205057287-9234                JOINT CONNECTOR          CCN000043200000048000FN00000000020220601000048000NNM   20220330131242    4N0N  00000960000000893800001184832DA    GBYIPLGB005500360039
BI00B32DA    SBT2206        202204287017-1180-02             TERMINAL                 CCN000180000000216000FN00000000020220601000216000NNM   20220330131242    4P0P  00007200000001065600001229032DA    GBYIPLGB005100280028
BI00B32DA    SBT2206A       202205057017-1180-02             TERMINAL                 CCN000180000000216000FN00000000020220601000216000NNM   20220330131242    4P0P  00007200000001065600001229032DA    GBYIPLGB005100280028
BI00B32DA    SBT2206        202204287017-1182-02             TERMINAL                 CCN000022500000045000FN00000000020220601000045000NNM   20220330131242    4P0P  00004500000001165500001318632DA    GBYIPLGB005100280028
BI00B32DA    SBT2206A       202205057017-1182-02             TERMINAL                 CCN000022500000045000FN00000000020220601000045000NNM   20220330131242    4P0P  00004500000001165500001318632DA    GBYIPLGB005100280028
BI00B32DA    SBT2206        202204287114-4624-02             TERMINAL                 CCN000036000000048000FN00000000020220601000048000NNM   20220330131242    4P0P  00002400000000895200001188832DA    GBYIPLGB006400630015
