BI00B32Q8    EW22074 MW     2022061518000004530              AV 8 B                   CCN000000200000000200FN00000000020220701000000200NNM   20220416203414    1W    00000010000010466200000000032Q8    EMEMI   000000000000MI126031
BI00B32Q8    EW22074 MW     2022061518009604430              AVS 5 B                  CCN000003400000003400FN00000000020220701000003400NNM   20220416203414    1W    00000020000005981000000000032Q8    EMEMI   000000000000MI126042
BI00B32Q8    EW22071 MW     2022052518009604440              AVS 5 W                  CCN000019800000019800FN00000000020220701000019800NNM   20220416203414    1W    00000020000005981000000000032Q8    EMEMI   000000000000MI225012
BI00B32Q8    EW22072 MW     2022060118009604440              AVS 5 W                  CCN000016400000016400FN00000000020220701000016400NNM   20220416203414    1W    00000020000005981000000000032Q8    EMEMI   000000000000MI325023
BI00B32Q8    EW22073 MW     2022060818009604440              AVS 5 W                  CCN000019800000019800FN00000000020220701000019800NNM   20220416203414    1W    00000020000005981000000000032Q8    EMEMI   000000000000MI425037
BI00B32Q8    EW22074 MW     2022061518009604440              AVS 5 W                  CCN000014600000014600FN00000000020220701000014600NNM   20220416203414    1W    00000020000005981000000000032Q8    EMEMI   000000000000MI126043
BI00B32Q8    EW22071 MW     2022052518009604443              AVS 5 W/B                CCN000012200000012200FN00000000020220701000012200NNM   20220416203414    1W    00000020000005981000000000032Q8    EMEMI   000000000000MI225013
BI00B32Q8    EW22072 MW     2022060118009604443              AVS 5 W/B                CCN000011000000011000FN00000000020220701000011000NNM   20220416203414    1W    00000020000005981000000000032Q8    EMEMI   000000000000MI325024
BI00B32Q8    EW22073 MW     2022060818009604443              AVS 5 W/B                CCN000013400000013400FN00000000020220701000013400NNM   20220416203414    1W    00000020000005981000000000032Q8    EMEMI   000000000000MI425038
BI00B32Q8    EW22074 MW     2022061518009604443              AVS 5 W/B                CCN000011600000011600FN00000000020220701000011600NNM   20220416203414    1W    00000020000005981000000000032Q8    EMEMI   000000000000MI126044
BI00B32Q8    EW22073 MW     2022060818007703730              AVSS 0.3F B              CCN000080000000080000FN00000000020220701000080000NNM   20220416203414    1W    00000200000000496000000000032Q8    EMEMI   000000000000MI425027
BI00B32Q8    EW22074 MW     2022061518007703730              AVSS 0.3F B              CCN000074000000074000FN00000000020220701000074000NNM   20220416203414    1W    00000200000000496000000000032Q8    EMEMI   000000000000MI126032
BI00B32Q8    EW22071 MW     2022052518007703760              AVSS 0.3F G              CCN000034000000034000FN00000000020220701000034000NNM   20220416203414    1W    00000200000000496000000000032Q8    EMEMI   000000000000MI225007
BI00B32Q8    EW22072 MW     2022060118007703760              AVSS 0.3F G              CCN000056000000056000FN00000000020220701000056000NNM   20220416203414    1W    00000200000000496000000000032Q8    EMEMI   000000000000MI325015
BI00B32Q8    EW22073 MW     2022060818007703760              AVSS 0.3F G              CCN000068000000068000FN00000000020220701000068000NNM   20220416203414    1W    00000200000000496000000000032Q8    EMEMI   000000000000MI425028
BI00B32Q8    EW22074 MW     2022061518007703760              AVSS 0.3F G              CCN000056000000056000FN00000000020220701000056000NNM   20220416203414    1W    00000200000000496000000000032Q8    EMEMI   000000000000MI126033
BI00B32Q8    EW22072 MW     2022060118007703752              AVSS 0.3F P              CCN000022000000022000FN00000000020220701000022000NNM   20220416203414    1W    00000200000000496000000000032Q8    EMEMI   000000000000MI325016
BI00B32Q8    EW22073 MW     2022060818007703752              AVSS 0.3F P              CCN000048000000048000FN00000000020220701000048000NNM   20220416203414    1W    00000200000000496000000000032Q8    EMEMI   000000000000MI425029
BI00B32Q8    EW22074 MW     2022061518007703752              AVSS 0.3F P              CCN000040000000040000FN00000000020220701000040000NNM   20220416203414    1W    00000200000000496000000000032Q8    EMEMI   000000000000MI126034
BI00B32Q8    EW22071 MW     2022052518007703750              AVSS 0.3F R              CCN000070000000070000FN00000000020220701000070000NNM   20220416203414    1W    00000200000000496000000000032Q8    EMEMI   000000000000MI225008
BI00B32Q8    EW22072 MW     2022060118007703750              AVSS 0.3F R              CCN000060000000060000FN00000000020220701000060000NNM   20220416203414    1W    00000200000000496000000000032Q8    EMEMI   000000000000MI325017
BI00B32Q8    EW22073 MW     2022060818007703750              AVSS 0.3F R              CCN000072000000072000FN00000000020220701000072000NNM   20220416203414    1W    00000200000000496000000000032Q8    EMEMI   000000000000MI425030
BI00B32Q8    EW22074 MW     2022061518007703750              AVSS 0.3F R              CCN000060000000060000FN00000000020220701000060000NNM   20220416203414    1W    00000200000000496000000000032Q8    EMEMI   000000000000MI126035
BI00B32Q8    EW22072 MW     2022060118007703792              AVSS 0.3F V              CCN000100000000100000FN00000000020220701000100000NNM   20220416203414    1W    00000200000000496000000000032Q8    EMEMI   000000000000MI325018
BI00B32Q8    EW22073 MW     2022060818007703792              AVSS 0.3F V              CCN000126000000126000FN00000000020220701000126000NNM   20220416203414    1W    00000200000000496000000000032Q8    EMEMI   000000000000MI425031
BI00B32Q8    EW22074 MW     2022061518007703792              AVSS 0.3F V              CCN000104000000104000FN00000000020220701000104000NNM   20220416203414    1W    00000200000000496000000000032Q8    EMEMI   000000000000MI126036
BI00B32Q8    EW22071 MW     2022052518007703740              AVSS 0.3F W              CCN000020000000020000FN00000000020220701000020000NNM   20220416203414    1W    00000200000000496000000000032Q8    EMEMI   000000000000MI225009
BI00B32Q8    EW22072 MW     2022060118007703740              AVSS 0.3F W              CCN000046000000046000FN00000000020220701000046000NNM   20220416203414    1W    00000200000000496000000000032Q8    EMEMI   000000000000MI325019
BI00B32Q8    EW22073 MW     2022060818007703740              AVSS 0.3F W              CCN000054000000054000FN00000000020220701000054000NNM   20220416203414    1W    00000200000000496000000000032Q8    EMEMI   000000000000MI425032
BI00B32Q8    EW22074 MW     2022061518007703740              AVSS 0.3F W              CCN000046000000046000FN00000000020220701000046000NNM   20220416203414    1W    00000200000000496000000000032Q8    EMEMI   000000000000MI126037
BI00B32Q8    EW22072 MW     2022060118007703930              AVSS 0.5F B              CCN000001500000001500FN00000000020220701000001500NNM   20220416203414    1W    00000150000000674000000000032Q8    EMEMI   000000000000MI325020
BI00B32Q8    EW22073 MW     2022060818007703930              AVSS 0.5F B              CCN000018000000018000FN00000000020220701000018000NNM   20220416203414    1W    00000150000000674000000000032Q8    EMEMI   000000000000MI425033
BI00B32Q8    EW22074 MW     2022061518007703930              AVSS 0.5F B              CCN000015000000015000FN00000000020220701000015000NNM   20220416203414    1W    00000150000000674000000000032Q8    EMEMI   000000000000MI126038
BI00B32Q8    EW22071 MW     2022052518007703941              AVSS 0.5F GY             CCN000003000000003000FN00000000020220701000003000NNM   20220416203414    1W    00000150000000674000000000032Q8    EMEMI   000000000000MI225010
BI00B32Q8    EW22072 MW     2022060118007703941              AVSS 0.5F GY             CCN000028500000028500FN00000000020220701000028500NNM   20220416203414    1W    00000150000000674000000000032Q8    EMEMI   000000000000MI325021
BI00B32Q8    EW22073 MW     2022060818007703941              AVSS 0.5F GY             CCN000034500000034500FN00000000020220701000034500NNM   20220416203414    1W    00000150000000674000000000032Q8    EMEMI   000000000000MI425034
BI00B32Q8    EW22074 MW     2022061518007703941              AVSS 0.5F GY             CCN000028500000028500FN00000000020220701000028500NNM   20220416203414    1W    00000150000000674000000000032Q8    EMEMI   000000000000MI126039
BI00B32Q8    EW22071 MW     2022052518007703990              AVSS 0.5F L              CCN000003000000003000FN00000000020220701000003000NNM   20220416203414    1W    00000150000000674000000000032Q8    EMEMI   000000000000MI225011
BI00B32Q8    EW22072 MW     2022060118007703990              AVSS 0.5F L              CCN000013500000013500FN00000000020220701000013500NNM   20220416203414    1W    00000150000000674000000000032Q8    EMEMI   000000000000MI325022
BI00B32Q8    EW22073 MW     2022060818007703990              AVSS 0.5F L              CCN000018000000018000FN00000000020220701000018000NNM   20220416203414    1W    00000150000000674000000000032Q8    EMEMI   000000000000MI425035
BI00B32Q8    EW22074 MW     2022061518007703990              AVSS 0.5F L              CCN000015000000015000FN00000000020220701000015000NNM   20220416203414    1W    00000150000000674000000000032Q8    EMEMI   000000000000MI126040
BI00B32Q8    EW22073 MW     2022060818007704152              AVSS 1.25F P             CCN000013600000013600FN00000000020220701000013600NNM   20220416203414    1W    00000080000001389000000000032Q8    EMEMI   000000000000MI425036
BI00B32Q8    EW22074 MW     2022061518007704152              AVSS 1.25F P             CCN000024000000024000FN00000000020220701000024000NNM   20220416203414    1W    00000080000001389000000000032Q8    EMEMI   000000000000MI126041
BI00B32Q8    EW22072 MW     20220601180D0203730              AVSSH 0.3F B             CCN000002000000002000FN00000000020220701000002000NNM   20220416203414    1W    00000200000000515000000000032Q8    EMEMI   000000000000MI325007
BI00B32Q8    EW22073 MW     20220608180D0203730              AVSSH 0.3F B             CCN000006000000006000FN00000000020220701000006000NNM   20220416203414    1W    00000200000000515000000000032Q8    EMEMI   000000000000MI425011
