BI00B1200    2399T52319     202204287289-0269                HOUSING SUB ASSEMBLY     CCN000024000000022400FN00000000020220501000022400NNMD0320220427141422    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    H722G50013     202207077289-9553-30             SEALED ASSY FEMALE       CCN000082320000082320FN00000000020220701000082320NNED0420220427123544    4N0N  0000029400000110900000152151200    YCYC    005500360039
BI00B1200    H722G50014     202207147289-9553-30             SEALED ASSY FEMALE       CCN000082320000082320FN00000000020220701000082320NNED0420220427123544    4N0N  0000029400000110900000152151200    YCYC    005500360039
BI00B1200    2399T52319     202205057289-0269                HOUSING SUB ASSEMBLY     CCN000001600000001600FN00000000020220501000001600NNMD0320220427141441    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    2399T52509     202206027116-4100-02             TERMINAL                 CCN000105000000105000FN00000000020220701000105000NNM   20220427152737    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    2399T52510     202206097116-4100-02             TERMINAL                 CCN000105000000105000FN00000000020220701000105000NNM   20220427152737    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    2399T52511     202206167116-4100-02             TERMINAL                 CCN000105000000105000FN00000000020220701000105000NNM   20220427152737    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    2399T52509     202206027116-4111-02             TERMINAL                 CCN000030000000030000FN00000000020220701000030000NNM   20220427152737    4P0P  0000075000000052950000081771200    YCYC    006400630015
BI00B1200    2399T52510     202206097116-4111-02             TERMINAL                 CCN000030000000030000FN00000000020220701000030000NNM   20220427152737    4P0P  0000075000000052950000081771200    YCYC    006400630015
BI00B1200    2399T52511     202206167116-4111-02             TERMINAL                 CCN000030000000030000FN00000000020220701000030000NNM   20220427152737    4P0P  0000075000000052950000081771200    YCYC    006400630015
BI00B1200    2399T52509     202206027116-4112-02             TERMINAL                 CCN000048000000048000FN00000000020220701000048000NNM   20220427152737    4P0P  0000060000000045000000073821200    YCYC    006400630015
BI00B1200    2399T52510     202206097116-4112-02             TERMINAL                 CCN000048000000048000FN00000000020220701000048000NNM   20220427152737    4P0P  0000060000000045000000073821200    YCYC    006400630015
BI00B1200    2399T52511     202206167116-4112-02             TERMINAL                 CCN000048000000048000FN00000000020220701000048000NNM   20220427152737    4P0P  0000060000000045000000073821200    YCYC    006400630015
BI00B1200    2399T52509     202206027137-3047-30             UNIT PACKING             CCN000003000000003000FN00000000020220701000003000NNM   20220427152737    1C0C  0000010000000017050000021891200    YCYC    002700430014
