BI00B1200    7360T52505     202205057196-1937-02             TERMINAL FEMALE          CCN000013500000013500FN00000000020220501000013500NNED0720220428121351    4P0P  0000135000000044690000073211200    YCYC    006400630015
BI00B1200    #7960T52501    202206097172-5630-40             RUBBER STOPPER           CCN000080000000080000FN00000000020220701000080000NNE   20220428121351    2H0H  0000200000000004400000009511200    YCYC    004300270014
BI00B1200    #7960T52502    202206097172-5626-90             RUBBER STOPPER           CCN000040000000040000FN00000000020220701000040000NNE   20220428121351    2H0H  0000200000000007640000012781200    YCYC    004300270014
BI00B1200    8670T52501     202207147137-3047-30             UNIT PACKING             CCN000004000000004000FN00000000020220801000004000NNE   20220428121351    1C0C  0000010000000017050000021891200    YCYC    002700430014
BI00B1200    8670T52501     202207147172-5402-30             SEAL RUBBER              CCN000008000000008000FN00000000020220801000008000NNE   20220428121351    1C0C  0000080000000045760000050601200    YCYC    004300270014
BI00B1200    8670T52501     202207147172-5403-30             SEALED PACKING           CCN000008000000008000FN00000000020220801000008000NNE   20220428121351    1C0C  0000040000000065360000070171200    YCYC    004300270014
BI00B1200    8670T52501     202207147288-6547                CONNECTOR MALE ASS'Y     CCN000000750000000750FN00000000020220801000000750NNE   20220428121351    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B1200    #8670T52501    202207147289-2919-30             HOUSING FEMALE ASS'Y     CCN000001500000001500FN00000000020220801000001500NNE   20220428121351    2N0N  0000015000000090750000103451200    YCYC    005400370024
BI00A1200    HIB22042801    202205047196-0805-02             TERMINAL FEMALE          CCN000000003000022500FN00000000020220601000022500NNE   20220428121351    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00A1200    HIB22042801    202205107196-0549-08             TERMINAL ALUMINIUM       CCN000000003000038000FN00000000020220601000038000NNED0620220428121351    4P0P  0000380000000060040000092911200    YCYC    006400630017
BI00A1200    OSK-05-01      202205127195-0547-08             TERMINAL MALE            CCN000025500000025500FN00000000020220501000025500NNED0720220428152645    4P0P  0000255000000000000000000001200    YCYC    000000000000
BI00A1200    CE22-MN-0061   202205067298-1867-10             HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020220501000002400NNE   20220428153706    4N0N  0000024000000102860000000001200    YCYC    005500360039
BI00B32AF    JTB206B        202205137116-1301                TERMINAL                 CCN000015000000015000FN00000000020220601000015000NNE   20220428121351    4P0P  00001500000000487500000772732AF    HBYHVTB 006400630015
BI00B32AF    JTB207A        202206247195-1933-02             TERMINAL MALE            CCN000021000000024000FN00000000020220701000024000NNE   20220428151241    4P0P  00002400000000777600001071232AF    HBYHVTB 006400630015
BI00B32AF    JTB207A        202206247196-1933-02             TERMINAL FEMALE          CCN000021000000021000FN00000000020220701000021000NNE   20220428151241    4P0P  00002100000000590100000875332AF    HBYHVTB 006400630015
BI00B32AF    JTB207A        202206247196-1938-02             TERMINAL FEMALE          CCN000013500000013500FN00000000020220701000013500NNE   20220428151241    4P0P  00001350000000507600000795832AF    HBYHVTB 006400630015
BI00B32BF    TT22083BMW     202207057114-4032                TERMINAL                 CCN000007500000007500FN00000000020220801000007500NNM   20220428121351    4P0P  00000750000000735000001063632BF    TTTJYCD 006400630017
BI00B32BF    TT22081BMW     202206217116-1257-02             TERMINAL                 CCN000024000000024000FN00000000020220801000024000NNM   20220428121351    1P0P  00002400000000518400000847132BF    TTTJYCD 006400630017
BI00B32BF    TT22083BMW     202207057116-4028-08             TERMINAL FEMALE          CCN000016000000016000FN00000000020220801000016000NNM   20220428121351    4P0P  00001600000000652800000981532BF    TTTJYCD 006400630017
BI00B32BF    TT22081BMW     202206217116-6042                TERMINAL                 CCN000003000000003000FN00000000020220801000003000NNM   20220428121351    4P0P  00000300000000523800000856132BF    TTTJYCD 006400630015
