BI00B32A7    ZZ2205DLMW     202205187158-3168-80             SEALED                   CCN000040000000040000FN00000000020220501000040000NNE   20220505122117    1C0C  00002000000000044000000092132A7    ZZZZY   004300260014
BI00B32A7    ZZ2205DLMW     202205187172-5402-30             SEAL RUBBER              CCN000040000000040000FN00000000020220501000040000NNE   20220505122117    1C0C  00000800000000457600000506032A7    ZZZZY   004300270014
BI00B32A7    ZZ2205DLMW     202205187172-5403-30             SEALED PACKING           CCN000040000000040000FN00000000020220501000040000NNE   20220505122117    1C0C  00000400000000653600000701732A7    ZZZZY   004300270014
BI00B32A7    ZZ2205DLMW     202205187283-8630                CONNECTOR ASS'Y          CCN000018000000018000FN00000000020220501000018000NNE   20220505122117    4N0N  00000600000000540000000701332A7    ZZZZY   005400370024
BI00B32A7    ZZ2205DLMW     202205187289-3342-30             HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020220501000002400NNE   20220505122117    1N0N  00000240000000686400000901432A7    ZZZZY   005500360039
BI00B32A7    ZZ2205DLMW     202205187289-4696-30             HOUSING FEMALE ASS'Y     CCN000020000000020000FN00000000020220501000020000NNE   20220505122117    4N0N  00000200000000913400001055432A7    ZZZZY   005400370024
BI00B32A7    #ZZ2205DLMW    202205187158-3007-10             RUBBER STOPPER           CCN000040000000040000FN00000000020220501000040000NNE   20220505122117    2H0H  00002000000000308000000362732A7    ZZZZY   002700430014
BI00B32A7    #ZZ2205DLMW    202205187182-9632-30             JOINT CONNECTOR          CCN000006000000006000FN00000000020220501000006000NNE   20220505122117    2F0F  00000300000001320000001445532A7    ZZZZY   005400370024
BI00B32A7    @ZZ2205DLMW    202205187123-2825                HOUSING                  CCN000006000000006000FN00000000020220501000006000NNE   20220505122117    3F0F  00000600000000958800001136432A7    ZZZZY   005500360039
BI00B32DA    SBT2204        202205127289-3342-30             HOUSING FEMALE ASS'Y     CCN000043200000043200FN00000000020220401000043200NNMS0020220505122117    1N0N  00000240000000686400000901432DA    GBYIPLGB005500360039
BI00B32DA    SBT2204C       202205127289-3342-30             HOUSING FEMALE ASS'Y     CCN000021600000021600FN00000000020220401000021600NNMD0420220505122117    1N0N  00000240000000686400000901432DA    GBYIPLGB005500360039
BI00B32DA    SBT2204C       202205127286-3885-40             CONNECTOR MALE ASS'Y     CCN000007200000007200FN00000000020220401000007200NNM00020220505160552    1N0N  00000120000000910600001130632DA    GBYIPLGB005500360039
BI00B32DA    SBT2205        202205197289-3342-30             HOUSING FEMALE ASS'Y     CCN000114000000028800FN00000000020220501000028800NNMD0420220505122117    1N0N  00000240000000686400000901432DA    GBYIPLGB005500360039
BI00B32DA    SBT2205A       202205197289-3342-30             HOUSING FEMALE ASS'Y     CCN000114000000028800FN00000000020220501000028800NNMD0420220505122117    1N0N  00000240000000686400000901432DA    GBYIPLGB005500360039
BI00B32DA    SBT2205        202205267289-3342-30             HOUSING FEMALE ASS'Y     CCN000028800000086400FN00000000020220501000086400NNMD0420220505122117    1N0N  00000240000000686400000901432DA    GBYIPLGB005500360039
BI00B32DA    SBT2205        202208187289-3342-30             HOUSING FEMALE ASS'Y     CCN000028800000000000FY00000000020220501000000000NNMD0420220505112930    1N0N  00000240000000686400000901432DA    GBYIPLGB005500360039
BI00B32DA    SBT2205        202208257289-3342-30             HOUSING FEMALE ASS'Y     CCN000028800000000000FY00000000020220501000000000NNMD0420220505112930    1N0N  00000240000000686400000901432DA    GBYIPLGB005500360039
BI00B32DA    SBT2205A       202206027289-3342-30             HOUSING FEMALE ASS'Y     CCN000028800000086400FN00000000020220501000086400NNMD0420220505122117    1N0N  00000240000000686400000901432DA    GBYIPLGB005500360039
BI00B32DA    SBT2205A       202209157289-3342-30             HOUSING FEMALE ASS'Y     CCN000028800000000000FY00000000020220501000000000NNMD0420220505113040    1N0N  00000240000000686400000901432DA    GBYIPLGB005500360039
BI00B32DA    SBT2205A       202209227289-3342-30             HOUSING FEMALE ASS'Y     CCN000028800000000000FY00000000020220501000000000NNMD0420220505113040    1N0N  00000240000000686400000901432DA    GBYIPLGB005500360039
BI00B32DA    SBT2207        202208047286-3885-40             CONNECTOR MALE ASS'Y     CCN000030000000014400FN00000000020220701000014400NNMD0420220505163109    1N0N  00000120000000910600001130632DA    GBYIPLGB005500360039
BI00B32DA    SBT2207A       202208187286-3885-40             CONNECTOR MALE ASS'Y     CCN000030000000014400FN00000000020220701000014400NNMD0420220505163200    1N0N  00000120000000910600001130632DA    GBYIPLGB005500360039
BI00B32DA    SBT2207        202208117286-3885-40             CONNECTOR MALE ASS'Y     CCN000015600000015600FN00000000020220701000015600NNMD0420220505163139    1N0N  00000120000000910600001130632DA    GBYIPLGB005500360039
BI00B32DA    SBT2207A       202208257286-3885-40             CONNECTOR MALE ASS'Y     CCN000015600000015600FN00000000020220701000015600NNMD0420220505163215    1N0N  00000120000000910600001130632DA    GBYIPLGB005500360039
BI00B32DE    TCT2062        202205197289-3342-30             HOUSING FEMALE ASS'Y     CCN000036000000036000FN00000000020220601000036000NNMD0420220505141756    1N0N  00000240000000686400000901432DE    TVYEV-TV005500360039
BI00B32DE    TCT2063        202205267289-3342-30             HOUSING FEMALE ASS'Y     CCN000036000000036000FN00000000020220601000036000NNMD0420220505141847    1N0N  00000240000000686400000901432DE    TVYEV-TV005500360039
BI00B32DE    TCT2064        202206027289-3342-30             HOUSING FEMALE ASS'Y     CCN000048000000048000FN00000000020220601000048000NNMD0420220505142032    1N0N  00000240000000686400000901432DE    TVYEV-TV005500360039
BI00B32DE    #TCTL2072      202206237114-4022                TERMINAL                 CCN000090000000090000FN00000000020220701000090000NNM   20220505122117    2F0P  00001500000000708000001120632DE    TVYEV-TV006400630015
BI00B32DE    #TCTL2072      202206237154-5597-30             CASSETTE R/B             CCN000008000000008000FN00000000020220701000008000NNM   20220505122117    2F0F  00000080000000736000000952032DE    TVYEV-TV005500360039
BI00B32DE    #TCTL2072      202206237157-8991-80             RUBBER STOPPER           CCN000080000000080000FN00000000020220701000080000NNM   20220505122117    2C0C  00002000000000214000000271032DE    TVYEV-TV002700430014
BI00B32DE    #TCTL2072      202206237158-3003-90             RUBBER STOPPER           CCN000260000000260000FN00000000020220701000260000NNM   20220505122117    2C0C  00002000000000250000000306032DE    TVYEV-TV002700430014
BI00B32DE    #TCTL2071      202206097158-3004-40             RUBBER STOPPER           CCN000060000000060000FN00000000020220701000060000NNM   20220505122117    2C0C  00002000000000234000000306332DE    TVYEV-TV002700430014
BI00B32DE    #TCTL2072      202206237158-3004-40             RUBBER STOPPER           CCN000060000000060000FN00000000020220701000060000NNM   20220505122117    2C0C  00002000000000234000000306332DE    TVYEV-TV002700430014
BI00B32DE    #TCTL2072      202206237158-3005-80             RUBBER STOPPER           CCN000020000000020000FN00000000020220701000020000NNM   20220505122117    2H0H  00002000000000210000000268732DE    TVYEV-TV002700430014
BI00B32DE    #TCTL2071      202206097158-3007-10             RUBBER STOPPER           CCN000100000000100000FN00000000020220701000100000NNM   20220505122117    2H0H  00002000000000308000000362732DE    TVYEV-TV002700430014
BI00B32DE    #TCTL2072      202206237158-3007-10             RUBBER STOPPER           CCN000080000000080000FN00000000020220701000080000NNM   20220505122117    2H0H  00002000000000308000000362732DE    TVYEV-TV002700430014
BI00B32DE    #TCTL2071      202206097158-3008-80             RUBBER STOPPER           CCN000040000000040000FN00000000020220701000040000NNM   20220505122117    2C0C  00002000000000288000000343032DE    TVYEV-TV004300270014
BI00B32DE    #TCTL2072      202206237158-3008-80             RUBBER STOPPER           CCN000040000000040000FN00000000020220701000040000NNM   20220505122117    2C0C  00002000000000288000000343032DE    TVYEV-TV004300270014
BI00B32DE    #TCTL2072      202206237158-3015-10             RUBBER STOPPER           CCN000040000000040000FN00000000020220701000040000NNM   20220505122117    2C0C  00001000000000419500000474032DE    TVYEV-TV002700430014
BI00B32DE    #TCTL2071      202206097158-3017                RUBBER STOPPER           CCN000040000000040000FN00000000020220701000040000NNM   20220505122117    2C0C  00001000000000375500000435032DE    TVYEV-TV002700430014
BI00B32DE    #TCTL2072      202206237158-3017                RUBBER STOPPER           CCN000040000000040000FN00000000020220701000040000NNM   20220505122117    2C0C  00001000000000375500000435032DE    TVYEV-TV002700430014
BI00B32DE    #TCTL2072      202206237158-3120-90             CONNECTOR WIRE SEAL      CCN000080000000080000FN00000000020220701000080000NNM   20220505122117    2C0C  00002000000000136000000194032DE    TVYEV-TV002700430014
BI00B32DE    #TCTL2071      202206097158-3121-80             WIRE SEAL                CCN000020000000020000FN00000000020220701000020000NNM   20220505122117    2C0C  00002000000000118000000187332DE    TVYEV-TV002700430014
BI00B32DE    #TCTL2071      202206097158-7584-30             BLOCK LIF                CCN000000800000000800FN00000000020220701000000800NNM   20220505122117    2F0F  00000080000000534500000688532DE    TVYEV-TV005500360039
BI00B32DE    #TCTL2072      202206237158-7584-30             BLOCK LIF                CCN000000800000000800FN00000000020220701000000800NNM   20220505122117    2F0F  00000080000000534500000688532DE    TVYEV-TV005500360039
BI00B32DE    #TCTL2071      202206097158-7586-30             BLOCK LIF                CCN000004800000004800FN00000000020220701000004800NNM   20220505122117    2F0F  00000080000000617400000844232DE    TVYEV-TV005500360039
BI00B32DE    #TCTL2072      202206237158-7586-30             BLOCK LIF                CCN000004000000004000FN00000000020220701000004000NNM   20220505122117    2F0F  00000080000000617400000844232DE    TVYEV-TV005500360039
BI00B32DE    #TCTL2071      202206097182-2410                CONNECTOR HOUSING        CCN000001200000001200FN00000000020220701000001200NNM   20220505122117    2F0F  00000120000000959800001245632DE    TVYEV-TV005500360039
BI00B32DE    #TCTL2071      202206097183-0521                HOUSING                  CCN000004800000004800FN00000000020220701000004800NNM   20220505122117    2F0F  00000480000001367500001585032DE    TVYEV-TV005500360039
BI00B32DE    #TCTL2071      202206097183-1616-30             CONNECTOR HOUSING        CCN000002400000002400FN00000000020220701000002400NNM   20220505122117    2F0F  00000240000000557500000837132DE    TVYEV-TV005500360039
BI00B32DE    #TCTL2072      202206237183-1616-30             CONNECTOR HOUSING        CCN000002400000002400FN00000000020220701000002400NNM   20220505122117    2F0F  00000240000000557500000837132DE    TVYEV-TV005500360039
BI00B32DE    #TCTL2072      202206237183-2412                HOUSING                  CCN000001600000001600FN00000000020220701000001600NNM   20220505122117    2F0F  00000160000001059200001245632DE    TVYEV-TV005500360039
BI00B32DE    #TCTL2071      202206097183-2416-90             HOUSING                  CCN000007200000007200FN00000000020220701000007200NNM   20220505122117    2F0F  00000240000001489700001765832DE    TVYEV-TV005500360039
BI00B32DE    #TCTL2072      202206237183-2416-90             HOUSING                  CCN000009600000009600FN00000000020220701000009600NNM   20220505122117    2F0F  00000240000001489700001765832DE    TVYEV-TV005500360039
BI00B32DE    #TCTL2072      202206237183-7725-40             HOUSING                  CCN000006000000006000FN00000000020220701000006000NNM   20220505122117    2F0F  00000600000000840000001040032DE    TVYEV-TV005600390040
